Chemical,Obs_freeperc_cell,Pred_freeperc_cell_Fischer,Pred_freeperc_cell_VIVD,Pred_freeperc_cell_IVMBM,Pred_freeperc_cell_VCBA,Diff_freeperc_media_Fischer,Diff_freeperc_media_VIVD,Diff_freeperc_media_IVMBM,Diff_freeperc_media_VCBA,ABS_Diff_freeperc_media_Fischer,ABS_Diff_freeperc_media_VIVD,ABS_Diff_freeperc_media_IVMBM,ABS_Diff_freeperc_media_VCBA,Note,H37,log10_H37,vb,MW,MP,logkow,logkaw,Solubility,log10_Solubility,Conc
cyclosporine A,0.0226,,0.0247,0.105,0.0411,,0.038588514,0.66708086,0.259733383,,0.038588514,0.66708086,0.259733383,"PHH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.7
cyclosporine A,0.0226,,0.0247,0.105061076,0.0411,,0.038588514,0.667333405,0.259733383,,0.038588514,0.667333405,0.259733383,"PHH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.7
cyclosporine A,0.0414,,0.0247,0.105061076,0.0411,,-0.224303388,0.404441503,-0.003158519,,0.224303388,0.404441503,0.003158519,"PHH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.7
cyclosporine A,0.342481203,,0.0247,0.013,0.0411,,-1.141939787,-1.420693388,-0.920794918,,1.141939787,1.420693388,0.920794918,"PHH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,7
cyclosporine A,0.042857143,,0.0247,0.013,0.0411,,-0.239326263,-0.518079864,-0.018181394,,0.239326263,0.518079864,0.018181394,"PHH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,7
cyclosporine A,0.087155388,,0.0247,0.013,0.0411,,-0.547597287,-0.826350888,-0.326452419,,0.547597287,0.826350888,0.326452419,"PHH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,7
cyclosporine A,0.00757,,0.00286,0.0129,0.00456,,-0.422729846,0.231493831,-0.220131037,,0.422729846,0.231493831,0.220131037,"HepaRG; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.5
cyclosporine A,0.025874704,,0.00286,0.00227,0.00456,,-0.956509357,-1.056849533,-0.753910548,,0.956509357,1.056849533,0.753910548,"HepaRG; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,5
cyclosporine A,0.808736942,,0.0268,0.194,0.134,,-1.479672488,-0.620005552,-0.780702483,,1.479672488,0.620005552,0.780702483,"PRH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.25
cyclosporine A,0.658,,0.0268376,0.07482938,0.133852773,,-1.389482218,-0.944153747,-0.691598521,,1.389482218,0.944153747,0.691598521,"PRH; Bellwon et al., 2015",2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,2.5
chlorpromazine,0.104672897,0.0104,0.000299,0.0112,0.0015,-1.002800905,-2.544163056,-0.970616222,-1.843742985,1.002800905,2.544163056,0.970616222,1.843742985,"Balb/c 3T3; Broeders et al., 2013",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1.7
chlorpromazine,0.510280374,0.0063,0.0017511,0.00694,0.00117,-1.908468316,-2.464497917,-1.866449395,-2.639623003,1.908468316,2.464497917,1.866449395,2.639623003,"Caco-2; Broeders et al., 2013",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,5
chlorpromazine,0.542990654,0.006296368,0.00175,0.006936532,0.00117,-1.935702252,-2.491754306,-1.89364996,-2.666606493,1.935702252,2.491754306,1.89364996,2.666606493,"Caco-2; Broeders et al., 2013",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,15
chlorpromazine,0.88317757,0.542565509,0.132227353,0.308804048,0.0377,-0.211595849,-0.824726727,-0.456365046,-1.369706681,0.211595849,0.824726727,0.456365046,1.369706681,"HepaRG; Broeders et al., 2013",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1.7
chlorpromazine,0.922441023,0.542565509,0.132227,0.308804048,0.0377,-0.230486427,-0.843618464,-0.475255624,-1.388597259,0.230486427,0.843618464,0.475255624,1.388597259,"HepaRG; Broeders et al., 2013",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,5
chlorpromazine,0.765420561,0.542565509,0.132227333,0.308804048,0.037738787,-0.149447942,-0.762578886,-0.39421714,-1.307112187,0.149447942,0.762578886,0.39421714,1.307112187,"HepaRG; Broeders et al., 2013",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,15
chlorpromazine,0.0423,0.959550374,0.738,0.926102019,0.2087032,1.355727412,1.241715994,1.340318464,0.693188741,1.355727412,1.241715994,1.340318464,0.693188741,"PHH; Broeders et al., 2015",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1
chlorpromazine,0.349775785,0.16892434,0.045660667,0.168980038,0.0161,-0.316097509,-0.884247489,-0.315954337,-1.336963864,0.316097509,0.884247489,0.315954337,1.336963864,"HepaRG; Broeders et al., 2015",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1.5
chlorpromazine,0.332959641,0.16892434,0.0457,0.168980038,0.016075743,-0.294699364,-0.862475395,-0.294556191,-1.31622054,0.294699364,0.862475395,0.294556191,1.31622054,"HepaRG; Broeders et al., 2015",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,15
chlorpromazine,0.0269,0.83642008,0.00574,0.839631915,0.221748367,1.49267217,-0.670840388,1.494336658,0.91610815,1.49267217,0.670840388,1.494336658,0.91610815,"PRH; Broeders et al., 2015",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,2
chlorpromazine,0.017088054,0.83642008,0.00574,0.839631915,0.22174837,1.689731843,-0.473780715,1.69139633,1.113167828,1.689731843,0.473780715,1.69139633,1.113167828,"PRH; Broeders et al., 2015",0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,20
ibuprofen,0.000820519,0.351847678,0.000476,0.0544898,0.032185523,2.632266047,-0.236481689,1.822226572,1.593571929,2.632266047,0.236481689,1.822226572,1.593571929,"PHH;Truisi et al., 2015",0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,100
ibuprofen,0.008297673,0.351847678,0.000476,0.0544898,0.032185523,1.627398373,-1.241349363,0.817358898,0.588704255,1.627398373,1.241349363,0.817358898,0.588704255,"PHH;Truisi et al., 2015",0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,1000
ibuprofen,0.00308,0.267484583,0.000275,0.030688173,0.022025825,1.938748039,-1.049218023,0.998420317,0.854381468,1.938748039,1.049218023,0.998420317,0.854381468,"HepaRG;Truisi et al., 2015",0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,10
ibuprofen,0.000616,0.267484583,0.000275,0.030688173,0.022025826,2.637718043,-0.350248018,1.697390322,1.553351492,2.637718043,0.350248018,1.697390322,1.553351492,"HepaRG;Truisi et al., 2015",0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,100
ibuprofen,0.027354497,0.523394871,0.000623,0.114880835,0.064524253,1.281800729,-1.642540687,0.62321885,0.372694252,1.281800729,1.642540687,0.62321885,0.372694252,"PRH;Truisi et al., 2015",0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,10
ibuprofen,0.0631,0.523394871,0.000623,0.114880835,0.0645,0.918800103,-2.005541313,0.260218224,0.009530355,0.918800103,2.005541313,0.260218224,0.009530355,"PRH;Truisi et al., 2015",0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,100
amiodarone,0.235023041,0.999986881,0.530834,0.99385713,0.5739406,0.628883861,0.35384829,0.626213516,0.387756506,0.628883861,0.35384829,0.626213516,0.387756506,"PHH; Pomponio et al., 2015",0.106,-0.974694135,408,645.31,238,7.57,-10.7,0.4168,-0.38007229,0.25
amiodarone,0.403636364,0.999986881,0.530834,0.99385713,0.57394064,0.394004017,0.118968446,0.391333672,0.152876692,0.394004017,0.118968446,0.391333672,0.152876692,"PHH; Pomponio et al., 2015",0.106,-0.974694135,408,645.31,238,7.57,-10.7,0.4168,-0.38007229,2.5
amiodarone,0.156931217,0.312429166,0.0586,0.501690446,0.0564,0.299042227,-0.427811727,0.504726488,-0.444430239,0.299042227,0.427811727,0.504726488,0.444430239,"HepaRG; Pomponio et al., 2015",0.106,-0.974694135,408,645.31,238,7.57,-10.7,0.4168,-0.38007229,1
