CAS,Fischer,IVBMB,VIVD,VCBA
87-61-6,8.683148659,2.796781634,8.250447037,8.631489013
83-32-9,6.893553891,4.305881871,6.694577815,6.593815646
309-00-2,18.92123894,6.600280236,9.887094395,1.978930678
86-50-0,4.058160958,3.306837557,5.378857645,4.676778638
92-87-5,3.19431216,4.4611565,5.113776734,4.995145357
2921-88-2,52.81073001,6.594112431,7.478756928,6.698233571
115-32-2,129.11436,77.71547,88.9428,74.03237
60-57-1,12.65167272,7.381156477,8.584031637,6.33311351
115-29-7,7.692570058,3.834453333,5.797093567,5.593409415
206-44-0,9.444318847,7.409049764,8.674431434,6.101941004
58-89-9,23.43801444,8.041427399,12.47705242,11.76128645
76-44-8,34.43888726,12.98206442,18.09926794,4.831090776
91-20-3,20.94778718,11.57129976,22.62690795,19.83613721
106-44-5,2.663972783,2.588990648,3.405555144,3.206943057
87-86-5,2.296329447,1.872674078,2.177665401,1.606638557
