,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media,IOC,pKa
1,Caffeine,58-08-2,Rat cerebellar granule cell,2,96,6.18E-08,0.000149848,0.000149938,0.999396318,N,
2,Lamotrigine,84057-84-1,Rat cerebellar granule cell,2,96,1.53E-05,0.000121088,0.000134712,0.898869215,B,6.6
3,Diclofenac,15307-79-6,Rat cerebellar granule cell,2,96,4.37E-06,1.1134E-05,0.000145631,0.076453185,B,17.6
4,"2,4-Dichlorophenoxyacetic",94-75-7,Rat cerebellar granule cell,2,96,1.90E-09,0.000149989,0.000149998,0.999941899,A,2.7
5,(S)-Naproxen,22204-53-1,Rat cerebellar granule cell,2,96,1.04E-07,0.000149631,0.000149896,0.998232857,A,4.4
6,Ibuprofen,15687-27-1,Rat cerebellar granule cell,2,96,3.47E-06,1.43E-04,0.000146526,0.976571415,A,5.4
7,Torasemide,56211-40-6,Rat cerebellar granule cell,2,96,6.48E-08,1.50E-04,0.000149935,0.99875245,A,4
8,Warfarin,81-81-2,Rat cerebellar granule cell,2,96,4.42E-08,0.000149815,0.000149956,0.99905937,A,4.5
9,di-n-butylphthalate,84-74-2,Rat cerebellar granule cell,2,96,9.05E-05,2.11E-05,5.95E-05,0.354330737,N,
10,hexachlorophene,70-30-4,Rat cerebellar granule cell,2,96,1.30E-04,1.27E-07,2.01E-05,6.30E-03,A,6.2
11,hexamethylenetetramine,100-97-0,Rat cerebellar granule cell,2,96,4.44E-09,0.000149973,0.000149996,0.999849609,B,6.4
12,Malathion,121-75-5,Rat cerebellar granule cell,2,96,1.23E-05,0.000123261,0.000137659,0.895410824,N,
13,pentachlorophenol,87-86-5,Rat cerebellar granule cell,2,96,2.63E-05,1.09E-04,1.24E-04,0.880747494,A,5
14,"2,2,2-trichloroethanol",115-20-8,Rat cerebellar granule cell,2,96,1.57E-06,0.000146102,0.000148425,0.984344932,N,
15,diethylphthalate,84-66-2,Rat cerebellar granule cell,2,96,1.28E-05,0.000128439,0.00013725,0.935804512,N,
16,4-chlorophenol,106-48-9,Rat cerebellar granule cell,2,96,1.33E-05,0.000123194,0.000136728,0.901014896,N,
17,permethrin,52645-53-1,Rat cerebellar granule cell,2,96,1.28E-04,3.31E-08,2.24E-05,0.00147847,N,
18,Aniline,62-53-3,Rat cerebellar granule cell,2,96,1.22E-06,0.000147358,0.000148784,0.990416248,N,
19,4-fluoroaniline,371-40-4,Rat cerebellar granule cell,2,96,1.16E-06,0.000147329,0.000148837,0.989867198,N,
20,"2,4,6-trichlorophenol",88-06-2,Rat cerebellar granule cell,2,96,4.09E-05,8.94E-05,0.000109138,0.818887929,A,6.8
21,Allyl alcohol,107-18-6,Rat cerebellar granule cell,2,96,7.82E-08,0.000149772,0.000149922,0.99899872,N,
22,N-methylaniline,100-61-8,Rat cerebellar granule cell,2,96,3.77E-06,0.000142954,0.000146231,0.977589057,N,
