,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
1,"2,4-Dinitrophenol",51-28-5,Rat cerebellar granule cell,2,96,2.95E-06,1.33E-04,1.34E-04,0.994283919
2,Aldrin,309-00-2,Rat cerebellar granule cell,2,96,1.35E-04,7.56E-08,1.04E-05,0.007245657
3,Azinphos-methyl,86-50-0,Rat cerebellar granule cell,2,96,2.36E-05,8.51E-05,9.26E-05,0.91971443
4,Chlorpyrifos,2921-88-2,Rat cerebellar granule cell,2,96,1.05E-04,2.16E-06,2.93E-05,0.073737078
5,"DDD-p,p'",50-29-3,Rat cerebellar granule cell,2,96,1.38E-04,2.96E-08,9.24E-06,0.003201257
6,"DDT-o,p'",789-02-6,Rat cerebellar granule cell,2,96,1.36E-04,6.61E-08,1.02E-05,0.006455554
7,"DDT-p,p'",72-54-8,Rat cerebellar granule cell,2,96,1.32E-04,1.79E-07,1.24E-05,0.014475667
8,Diazinon,333-41-5,Rat cerebellar granule cell,2,96,7.00E-05,2.12E-05,4.65E-05,0.454744329
9,Dicofol,115-32-2,Rat cerebellar granule cell,2,96,1.08E-04,1.92E-06,2.78E-05,0.068955307
10,Dieldrin,60-57-1,Rat cerebellar granule cell,2,96,1.11E-04,1.56E-06,2.55E-05,0.061440283
11,Disulfoton,298-04-4,Rat cerebellar granule cell,2,96,7.72E-05,1.43E-05,4.31E-05,0.331694573
12,Endosulfan I,115-29-7,Rat cerebellar granule cell,2,96,7.07E-05,2.04E-05,4.61E-05,0.44251938
13,Endrin,72-20-8,Rat cerebellar granule cell,2,96,1.20E-04,8.18E-07,1.96E-05,0.041634285
14,Ethion,563-12-2,Rat cerebellar granule cell,2,96,1.09E-04,1.73E-06,2.66E-05,0.065127306
15,Heptachlor,76-44-8,Rat cerebellar granule cell,2,96,1.32E-04,1.87E-07,1.25E-05,0.014982094
16,Heptachlor epoxide B,1024-57-3,Rat cerebellar granule cell,2,96,1.06E-04,2.08E-06,2.88E-05,0.072120204
17,Lindane,58-89-9,Rat cerebellar granule cell,2,96,6.61E-05,2.47E-05,4.84E-05,0.510217563
18,"Methoxychlor-o,p'",72-43-5,Rat cerebellar granule cell,2,96,1.10E-04,1.70E-06,2.64E-05,0.06437867
19,Parathion,56-38-2,Rat cerebellar granule cell,2,96,7.07E-05,2.04E-05,4.61E-05,0.44251938
20,Trifluralin,1582-09-8,Rat cerebellar granule cell,2,96,1.17E-04,9.89E-07,2.11E-05,0.046854026
