,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media,IOC,pKa
1,Caffeine,58-08-2,Rat cerebellar granule cell,2,96,1.65E-08,0.000149968,0.000149977,0.999785,N,
2,Lamotrigine,84057-84-1,Rat cerebellar granule cell,2,96,5.22E-06,0.000136694,0.000142525,0.911291,B,6.6
3,Diclofenac,15307-79-6,Rat cerebellar granule cell,2,96,1.62E-07,0.000149739,0.0001498,0.998262,B,17.6
4,"2,4-Dichlorophenoxyacetic",94-75-7,Rat cerebellar granule cell,2,96,1.27E-10,0.000135739,0.000146174,0.904926,A,2.7
5,(S)-Naproxen,22204-53-1,Rat cerebellar granule cell,2,96,1.41E-08,0.000119283,0.000142302,0.795219,A,4.4
6,Ibuprofen,15687-27-1,Rat cerebellar granule cell,2,96,4.38E-07,7.56E-05,0.000132926,0.504036,A,5.4
7,Torasemide,56211-40-6,Rat cerebellar granule cell,2,96,5.80E-09,0.000106526,0.000139505,0.710171,A,4
8,Warfarin,81-81-2,Rat cerebellar granule cell,2,96,7.48E-09,0.000138815,0.000146932,0.925435,A,4.5
9,di-n-butylphthalate,84-74-2,Rat cerebellar granule cell,2,96,5.11E-05,1.05E-05,8.24E-05,0.0699544,N,
10,hexachlorophene,70-30-4,Rat cerebellar granule cell,2,96,2.27E-05,9.41E-08,2.46E-05,0.000627269,A,6.2
11,hexamethylenetetramine,100-97-0,Rat cerebellar granule cell,2,96,3.31E-09,0.000149811,0.000149811,0.998739,B,6.4
12,Malathion,121-75-5,Rat cerebellar granule cell,2,96,3.87E-06,0.0001411,0.000144678,0.940668,N,
13,pentachlorophenol,87-86-5,Rat cerebellar granule cell,2,96,4.18E-07,7.99E-06,0.000110378,0.0532674,A,5
14,"2,2,2-trichloroethanol",115-20-8,Rat cerebellar granule cell,2,96,4.69E-07,0.000148737,0.0001491,0.991577,N,
15,diethylphthalate,84-66-2,Rat cerebellar granule cell,2,96,4.59E-06,0.000139374,0.000143687,0.929162,N,
16,4-chlorophenol,106-48-9,Rat cerebellar granule cell,2,96,4.12E-06,0.00014048,0.000144318,0.936531,N,
17,permethrin,52645-53-1,Rat cerebellar granule cell,2,96,0.000103426,2.74E-07,1.73E-05,0.0018237,N,
18,Aniline,62-53-3,Rat cerebellar granule cell,2,96,1.43E-07,0.000149668,0.000149769,0.997789,N,
19,4-fluoroaniline,371-40-4,Rat cerebellar granule cell,2,96,2.54E-07,0.000149401,0.000149587,0.996005,N,
20,"2,4,6-trichlorophenol",88-06-2,Rat cerebellar granule cell,2,96,8.75E-06,7.48E-05,0.000126186,0.498599,A,6.8
21,Allyl alcohol,107-18-6,Rat cerebellar granule cell,2,96,2.77E-08,0.000149783,0.000149799,0.998552,N,
22,N-methylaniline,100-61-8,Rat cerebellar granule cell,2,96,8.10E-07,0.000148007,0.000148665,0.986713,N,
23,"3,4-dichloroaniline",95-76-1,Rat cerebellar granule cell,2,96,7.72E-06,0.000131828,0.000139427,0.878851,N,
24,4-decylaniline,37529-30-9,Rat cerebellar granule cell,2,96,0.000101044,4.05E-07,2.00E-05,0.00269669,N,
25,naphthalene,91-20-3,Rat cerebellar granule cell,2,96,2.24E-05,9.38E-05,0.000118432,0.625109,N,
26,"1,2,4-trichlorobenzene",120-82-1,Rat cerebellar granule cell,2,96,3.85E-05,3.29E-05,8.12E-05,0.219553,N,
27,"1,2-dichlorobenzene",95-50-1,Rat cerebellar granule cell,2,96,2.22E-05,6.91E-05,9.42E-05,0.460437,N,
28,dichloromethane,75-09-2,Rat cerebellar granule cell,2,96,2.59E-07,0.000121442,0.000121636,0.809613,N,
29,tetrachloroethylene,127-18-4,Rat cerebellar granule cell,2,96,1.60E-05,5.32E-05,7.11E-05,0.354434,N,
30,"2,3-dimethyl-1,3-butadiene",513-81-5,Rat cerebellar granule cell,2,96,6.35E-07,4.52E-06,5.19E-06,0.0301522,N,
31,Eugenol F,97-53-0,Rat cerebellar granule cell,2,96,3.18E-06,0.000142717,0.00014561,0.951446,N,
32,Methyl-antranilate,134-20-3,Rat cerebellar granule cell,2,96,1.33E-06,0.000147017,0.000148146,0.980112,N,
