"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"1","cyclosporine A","59865-13-3","Fischer et al. (2017)",3.16e-05,0.000946171,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.5003129173816,-3.02403036714455,1.47628255023705,1.47628255023705
"2","cyclosporine A","59865-13-3","Fischer et al. (2017)",3.16e-05,0.000946171,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.5003129173816,-3.02403036714455,1.47628255023705,1.47628255023705
"3","cyclosporine A","59865-13-3","Fischer et al. (2017)",5.79e-05,0.000946171,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.23732143627256,-3.02403036714455,1.21329106912801,1.21329106912801
"4","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.00479,0.009461711,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.31966448658544,-2.02403032124434,0.295634165341096,0.295634165341096
"5","cyclosporine A","59865-13-3","Fischer et al. (2017)",6e-04,0.009461711,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.22184874961636,-2.02403032124434,1.19781842837202,1.19781842837202
"6","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.001220175,0.009461711,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.91357787745318,-2.02403032124434,0.889547556208842,0.889547556208842
"7","cyclosporine A","59865-13-3","Fischer et al. (2017)",7.57e-06,3.67e-05,0.001,0.5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-5.12090412049993,-4.43533393574791,0.685570184752016,0.685570184752016
"8","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.000259,0.000367407,0.01,5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.58670023591875,-3.43485257358162,0.15184766233713,0.15184766233713
"9","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.000303,0.000194702,0.000375,0.25,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.5185573714977,-3.71062958733717,-0.192072215839476,0.192072215839476
"10","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.002466738,0.001947017,0.00375,2.5,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.60787697584337,-2.71063025650567,-0.102753280662295,0.102753280662295
"11","chlorpromazine","50-53-3","Fischer et al. (2017)",0.000355888,1.44e-05,0.0034,1.7,"Balb/c 3T3","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.44868665549614,-4.84163750790475,-1.39295085240861,1.39295085240861
"12","chlorpromazine","50-53-3","Fischer et al. (2017)",0.005102804,3.46e-05,0.01,5,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.29219111270896,-4.46092390120722,-2.16873278849826,2.16873278849826
"13","chlorpromazine","50-53-3","Fischer et al. (2017)",0.0163,0.000103918,0.03,15,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-1.78781239559604,-3.98330922026184,-2.1954968246658,2.1954968246658
"14","chlorpromazine","50-53-3","Fischer et al. (2017)",0.003,0.000101917,0.0034,1.7,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.52287874528034,-3.99175336859017,-1.46887462330984,1.46887462330984
"15","chlorpromazine","50-53-3","Fischer et al. (2017)",0.00922441,0.000299756,0.01,5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.03506140207281,-3.5232321151822,-1.48817071310939,1.48817071310939
"16","chlorpromazine","50-53-3","Fischer et al. (2017)",0.022962617,0.000899269,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-1.63897861784673,-3.04611037752059,-1.40713175967386,1.40713175967386
"17","chlorpromazine","50-53-3","Fischer et al. (2017)",8.45e-05,0.000763927,0.002,1,"PHH","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-4.07314329105031,-3.11694814013099,0.956195150919314,0.956195150919314
"18","chlorpromazine","50-53-3","Fischer et al. (2017)",0.001049327,0.00014999,0.003,1.5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.97908915225883,-3.82393769487492,-0.844848542616091,0.844848542616091
"19","chlorpromazine","50-53-3","Fischer et al. (2017)",0.009988789,0.0014999,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.00048716067263,-2.82393769487492,-0.823450534202291,0.823450534202291
"20","chlorpromazine","50-53-3","Fischer et al. (2017)",8.08e-05,0.00114554,0.003,2,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-4.09258863922541,-2.9409897415021,1.15159889772331,1.15159889772331
"21","chlorpromazine","50-53-3","Fischer et al. (2017)",0.000513,0.011455398,0.03,20,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.28988263488818,-1.94098981732565,1.34889281756254,1.34889281756254
"22","ibuprofen","15687-27-1","Fischer et al. (2017)",0.000164,0.004893043,0.2,100,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.7851561519523,-2.31042096764888,1.47473518430342,1.47473518430342
"23","ibuprofen","15687-27-1","Fischer et al. (2017)",0.016595345,0.048930434,2,1000,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.78001371462996,-1.31042093214586,0.469592782484097,0.469592782484097
"24","ibuprofen","15687-27-1","Fischer et al. (2017)",6.16e-05,0.00047858,0.02,10,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-4.21041928783557,-3.32004545463844,0.890373833197138,0.890373833197138
"25","ibuprofen","15687-27-1","Fischer et al. (2017)",0.000123274,0.0047858,0.2,100,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.90912851178399,-2.32004545463844,1.58908305714556,1.58908305714556
"26","ibuprofen","15687-27-1","Fischer et al. (2017)",0.000410317,0.00073582,0.015,10,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.38688048924014,-3.13322841197704,0.253652077263101,0.253652077263101
