Compound,CAS,H37,MW,MP,log KOW,log KAW,Solubility,pKa,IOC
Caffeine,58-08-2,0.157,194.19,238,-0.07,-9.95,21749.28,,Neutral
Lamotrigine,84057-84-1,0.000113,256.09,207,2.57,-9.7,249.94384,6.6,Base
Diclofenac,15307-79-6,0.000016,296.15,284,0.7,-9.05,7.018755,17.6,Base
"2,4-Dichlorophenoxyacetic",94-75-7,0.000299,221.04,140,2.81,-7.08,1644.5376,2.7,Acid
(S)-Naproxen,22204-53-1,0.000108,230.26,153,3.18,-9.64,13.35508,4.4,Acid
Ibuprofen,15687-27-1,0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,Acid
Torasemide,56211-40-6,0.00000184,348.42,224,3.37,-15.3,79.78818,4,Acid
Warfarin,81-81-2,0.000625,308.33,161,2.7,-11.6,29.692179,4.5,Acid
di-n-butylphthalate,84-74-2,0.183,278.34,-35,4.61,-5.26,11.189268,,Neutral
hexachlorophene,70-30-4,0.00000368,406.9,166,7.54,-9.21,140.7874,6.2,Acid
hexamethylenetetramine,100-97-0,0.0153,140.19,96.3,-1.27,-3.42,999554.7,6.4,Base
Malathion,121-75-5,0.000495,330.36,2.8,2.36,-9.87,144.69768,,Neutral
pentachlorophenol,87-86-5,0.00248,266.34,174,5.12,-5.02,40.48368,5,Acid
"2,2,2-trichloroethanol",115-20-8,0.597,149.4,19,1.42,-3.34,83215.8,,Neutral
diethylphthalate,84-66-2,0.00237,222.24,-40.5,2.44,-5.26,1037.8608,,Neutral
4-chlorophenol,106-48-9,0.0639,128.56,42.7,2.39,-4.8,24554.96,,Neutral
permethrin,52645-53-1,0.00243,391.29,34,6.5,-6.61,0.08373606,,Neutral
Aniline,62-53-3,0.205,93.13,-6,0.9,-4.27,36041.31,,Neutral
4-fluoroaniline,371-40-4,0.0611,111.12,-0.8,1.15,-3.98,14778.96,,Neutral
"2,4,6-trichlorophenol",88-06-2,0.137,197.45,69,3.69,-3.46,833.239,6.8,Acid
Allyl alcohol,107-18-6,0.506,58.08,-129,0.17,-3.52,998976,,Neutral
N-methylaniline,100-61-8,0.9,107.15,-57,1.66,-3.41,5625.375,,Neutral
"3,4-dichloroaniline",95-76-1,0.0176,162.02,72,2.69,-4.68,145.65598,,Neutral
4-decylaniline,37529-30-9,2.07,233.39,25,6.32,-3.09,0.20374947,,Neutral
naphthalene,91-20-3,44.6,128.17,80.2,3.3,-2.41,31.65799,,Neutral
"1,2,4-trichlorobenzene",120-82-1,144,181.45,17,3.99,-0.83,46.4512,,Neutral
"1,2-dichlorobenzene",95-50-1,195,147,-16.7,3.43,-0.98,143.325,,Neutral
dichloromethane,75-09-2,329,84.93,-95.1,1.25,-1.19,15117.54,,Neutral
tetrachloroethylene,127-18-4,1790,165.83,-22.3,3.4,-0.52,276.9361,,Neutral
"2,3-dimethyl-1,3-butadiene",513-81-5,4530,82.14,-76,3.07,0.95,326.9172,,Neutral
Eugenol F,97-53-0,0.0222,164.2,-9.1,2.27,-4.85,840.704,,Neutral
Methyl-antranilate,134-20-3,0.00111,151.16,24.5,1.88,-6.32,2872.04,,Neutral
Lilyfore,285977-85-7,0.0717,176.25,50.8,3.24,-5.78,222.075,,Neutral
Damascone beta,23726-91-2,32.8,192.3,17.5,4.29,-2.6,7.98045,,Neutral
Veloutone,14595-54-1,18.4,222.37,40.4,5.28,-3.52,0.9384014,,Neutral
Verdox,82356-51-2,,236.39,60.7,6.45,-1.88,0.15223516,,Neutral
Nirvanol,1506-02-1,,258.4,54.5,5.7,-3.69,1.250656,,Neutral
Cetalox,3738-00-9,140,236.39,60.7,5.4,-1.56,2.434817,,Neutral
Tonalide,21145-77-7,4.8534675,258.4,54.5,5.7,-3.69,1.250656,,Neutral
"2,4-Dinitrophenol",51-28-5,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,Acid
Aldrin,309-00-2,4.46,364.91,129,6.5,-1.68,0.026310011,,Neutral
Azinphos-methyl,86-50-0,0.0101,317.32,73,2.75,-13.3,23.132628,,Neutral
Chlorpyrifos,2921-88-2,0.297,350.59,42,4.96,-4.17,1.1499352,,Neutral
"DDD-p,p'",50-29-3,0.843,354.49,108,6.91,-3.82,0.006699861,,Neutral
"DDT-o,p'",789-02-6,1.45,354.49,116,6.56,-3.95,0.07656984,,Neutral
"DDT-p,p'",72-54-8,0.669,320.04,110,6.12,-3.32,0.09025128,,Neutral
Diazinon,333-41-5,0.0114,304.35,52.6,3.81,-5.17,47.4786,,Neutral
Dicofol,115-32-2,0.000149,370.49,77.5,5.02,-6.03,0.8632417,,Neutral
Dieldrin,60-57-1,0.829,380.91,202,5.12,-4.26,0.20835777,,Neutral
Disulfoton,298-04-4,0.483,274.4,-25,4.02,-5.26,18.05552,,Neutral
Endosulfan I,115-29-7,2.45,406.93,106,3.83,-4.96,0.40570921,,Neutral
Endrin,72-20-8,0.829,380.91,144,5.43,-4.26,0.05180376,,Neutral
Ethion,563-12-2,0.0457,384.48,-13,5.07,-7.25,1.7340048,,Neutral
Heptachlor,76-44-8,29.8,373.32,95.5,6.1,-2.92,0.14223492,,Neutral
Heptachlor epoxide B,1024-57-3,2.13,389.32,160,4.98,-4.75,0.22308036,,Neutral
Lindane,58-89-9,0.322,290.83,75.2,3.72,-3.77,4.449699,,Neutral
"Methoxychlor-o,p'",72-43-5,0.0206,345.65,87,5.08,-6.7,0.08468425,,Neutral
Parathion,56-38-2,0.0302,291.26,6.1,3.83,-5.78,12.728062,,Neutral
Trifluralin,1582-09-8,10.4,335.28,49,5.34,-3.39,0.28632912,,Neutral
Cisapride,81098-60-4,1.30709E-06,465.95,199.43,3.49,-14.415,33.2,7.8,Base
Citalopram hydrobromide,59729-33-8,0.4032735,324.39,153.367,3.2,-8.356,30,,Neutral
Dofetilide,115256-11-6,0.00133749,441.56,230.64,2.223,-13.462,249,8.4,Base
Moxifloxacin hydrochloride,186826-86-8,4.32658E-06,401.43,266.857,1.13,-14.842,724,6,Acid
N-acetylpro-cainamide,32795-44-1,1.80359E-06,277.36,174.123,1.1805,-12.236,8240,9.2,Base
Quinidine sulfate,50-54-4,0.000272564,324.42,180.1,3.227,-10.922,743,9.3,Base
Sematilide,101526-83-4,1.97584E-06,313.42,177.473,1.1,-12.441,11000,9.1,Base
Sotalol hydrochloride,959-24-0,0.000188465,272.36,165.84,0.233,-11.578,47100,9,Base
Mifepristone,84371-65-3,0.002320343,429.59,241.967,4.877,-11.407,0.826,,Neutral
Perfluorobutanesulfonic_acid,375-73-5,2.99031E-05,300.1,23.4,1.5,-4.63,510.17,-2.9,Acid
4_2_Fluorotelomer_sulfonic_acid,757124-72-4,2.48723E-05,328.15,33.3,1.76,-4.26,1283.0665,1.4,Acid
Perfluorononanoic_acid,375-95-1,0.000119046,464.08,68.6,6.07,-2.47,1299.424,0.1,Acid
Perfluorohexanoic_acid,307-24-4,2.37529E-05,314.05,11.7,4.2,-3.31,29.33227,0.1,Acid
Perfluorobutanoic_acid,375-22-4,5.078279645,214.04,-17.9,1.72,-3.87,447.3436,0.1,Acid
Perfluorooctanoic_acid,335-67-1,1.93071E-05,414.07,54.3,4.13,-2.75,5051.654,0.1,Acid
6_2_Fluorotelomer_sulfonic_acid,27619-97-2,1.84381E-05,428.17,32.1,2.97,-3.7,18.240042,1.4,Acid
8_2_Fluorotelomer_sulfonic_acid,39108-34-4,1.80184E-06,528.18,32.4,4.18,-3.14,0.2456037,1.4,Acid
Perfluoroundecanoic_acid,2058-94-8,3.35519E-05,564.09,98.5,5.95,-1.91,91.94667,0.1,Acid
Perfluorooctanesulfonic_acid,1763-23-1,1.84381E-06,500.13,22.8,5.95,-3.51,570.1482,-2.9,Acid
Perfluoroheptanoic_acid,375-85-9,2.11698E-05,364.06,35.4,3.53,-3.03,117955.44,0.1,Acid
Perfluoropentanoic_acid,2706-90-3,2.99031E-05,264.05,1.5,2.32,-3.59,119.8787,0.1,Acid
Perfluorohexanesulfonic_acid,355-46-4,1.97568E-05,400.11,190,2.71,-4.07,243.26688,-2.9,Acid
Perfluorodecanoic_acid,335-76-2,1.53362E-05,514.08,90,6.4,-2.19,1156.68,0.1,Acid
cyclosporine A,59865-13-3,0.00000227,1202.61,150,2.92,-45.2,0.67706943,,Neutral
chlorpromazine,50-53-3,0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,Base
PBDE 47,5436-43-1,37.7,485.79,152,6.81,-3.56,0.04420689,,Neutral
PBDE 99,60348-60-9,53.195625,564.69,177,7.32,-4.01,0.014343126,,Neutral
PBDE 153,68631-49-2,452.92275,643.58,197,7.9,-4.37,0.001950047,,Neutral
amiodarone,1951-25-3,0.106,645.31,238,7.57,-10.7,0.4168,9,Base
Azathioprine,446-86-6,0.004962684,277.26,244,0.1,-15.1,100.09086,8.2,Acid
Benzocaine,94-09-7,0.000299031,165.19,92,1.86,-6.33,834.2095,,Neutral
Butylated hydroxyanisole,25013-16-5,,180.24,64.9,3.42,-4.8,358.6776,,Neutral
Cetirizine dihydrochloride,83881-52-1,1.061E-05,388.89,249,0.715,-16.6,443.3346,4.7,Acid
Cyclamate,139-05-9,0.001431254,179.24,107,-0.585,-9.77,874691.2,17.6,Base
Cyclophosphamide,6055-19-2,0.1061003,261.09,61.5,0.695,-10.2,46212.93,6.1,Base
Cypermethrin,67375-30-8,0.000211698,416.3,102,6.62,-6.45,0.01477865,,Neutral
DEET,134-62-3,0.014645918,191.27,-45,2.18,-6.57,916.1833,,Neutral
Dexamethasone,50-02-2,6.69448E-06,392.46,248,1.92,-18.8,78.492,,Neutral
Digoxin,20830-75-5,1.33572E-05,780.94,426,1.26,-30.7,59.195252,,Neutral
Fenazaquin,120928-09-8,0.136683664,306.4,78.5,5.51,-7.24,0.1495232,,Neutral
Fenbuconazole,114369-43-6,0.394199993,336.82,125,3.23,-10,0.3738702,,Neutral
Fluazinam,79622-59-6,1.60589E-06,465.09,113,4.01,-4.7,0.4883445,,Neutral
Furosemide,54-31-9,2.54517E-05,330.74,261,2.03,-16.3,43.98842,3,Acid
Glybenclamide,10238-21-8,1.93071E-05,494,169,4.85,-18,4.00634,5,Acid
HC Red 3,2871-01-4,0.0090306,197.19,152,0.13,-11.8,121074.66,,Neutral
Hydralazine hydrochloride,304-20-1,0.004422997,160.18,163,0.725,-11.6,211437.6,6,Base
Ketoconazole,65277-42-1,0.004526021,531.43,146,4.35,-20,83.96594,6.6,Base
Metformin,1115-70-4,0.000359515,129.16,74.3,-0.87,-9.13,1016489.2,9.6,Base
Metoclopramide,364-62-5,2.0217E-05,299.8,147,2.62,-12.3,174.7834,9,Base
Nitrofurantoin,67-20-9,0.001464592,238.16,263,-0.47,-12.7,96.21664,7.3,Acid
Oxytetracycline hydrochloride,2058-46-0,1.36684E-06,460.43,460,-1.53,-28.9,501868.7,4.5,Acid
Panthenol,16485-10-2 ,0.001163367,205.25,164,-0.895,-15,1034460,,Neutral
Paracetamol,103-90-2,0.000583065,151.16,170,0.46,-10.9,14224.156,,Neutral
Topiramate,97240-79-4,0.00094562,339.36,165,-1.39,-18,264022.08,9.2,Acid
Trimellitic anhydride,552-30-7,2.26838E-06,192.13,162,1.46,-10.2,15754.66,3.3,Acid
Verapamil hydrochloride,152-11-4,0.047393263,454.6,200,4.48,-16.2,2.29573,9.2,Base
Warfarin,129-06-6,3.76458E-06,308.33,175,2.48,-11.6,82.94077,,Neutral
