Dataset,Compound,CAS,MW,MP,log_KOW,log_KAW,Solubility,pKa
107 chemicals,Caffeine,58-08-2,194.19,238,-0.07,-9.95,21749.28,
107 chemicals,Lamotrigine,84057-84-1,256.09,207,2.57,-9.7,249.94384,5.34
107 chemicals,Diclofenac,15307-79-6,296.15,284,0.7,-9.05,7.018755,4.15
107 chemicals,"2,4-Dichlorophenoxyacetic",94-75-7,221.04,140,2.81,-7.08,1644.5376,2.9
107 chemicals,(S)-Naproxen,22204-53-1,230.26,153,3.18,-9.64,13.35508,4.15
107 chemicals,Ibuprofen,15687-27-1,206.28,89.1,3.73,-6.22,35.68644,4.45
107 chemicals,Torasemide,56211-40-6,348.42,224,3.37,-15.3,79.78818,6.68
107 chemicals,Warfarin,81-81-2,308.33,161,2.7,-11.6,29.692179,4.9
107 chemicals,di-n-butylphthalate,84-74-2,278.34,-35,4.61,-5.26,11.189268,
107 chemicals,hexachlorophene,70-30-4,406.9,166,7.54,-9.21,140.7874,5.15
107 chemicals,hexamethylenetetramine,100-97-0,140.19,96.3,-1.27,-3.42,999554.7,
107 chemicals,Malathion,121-75-5,330.36,2.8,2.36,-9.87,144.69768,
107 chemicals,pentachlorophenol,87-86-5,266.34,174,5.12,-5.02,40.48368,4.7
107 chemicals,"2,2,2-trichloroethanol",115-20-8,149.4,19,1.42,-3.34,83215.8,
107 chemicals,diethylphthalate,84-66-2,222.24,-40.5,2.44,-5.26,1037.8608,
107 chemicals,4-chlorophenol,106-48-9,128.56,42.7,2.39,-4.8,24554.96,
107 chemicals,permethrin,52645-53-1,391.29,34,6.5,-6.61,0.08373606,
107 chemicals,Aniline,62-53-3,93.13,-6,0.9,-4.27,36041.31,
107 chemicals,4-fluoroaniline,371-40-4,111.12,-0.8,1.15,-3.98,14778.96,
107 chemicals,"2,4,6-trichlorophenol",88-06-2,197.45,69,3.69,-3.46,833.239,
107 chemicals,Allyl alcohol,107-18-6,58.08,-129,0.17,-3.52,998976,
107 chemicals,N-methylaniline,100-61-8,107.15,-57,1.66,-3.41,5625.375,
107 chemicals,"3,4-dichloroaniline",95-76-1,162.02,72,2.69,-4.68,145.65598,
107 chemicals,4-decylaniline,37529-30-9,233.39,25,6.32,-3.09,0.20374947,
107 chemicals,naphthalene,91-20-3,128.17,80.2,3.3,-2.41,31.65799,
107 chemicals,"1,2,4-trichlorobenzene",120-82-1,181.45,17,3.99,-0.83,46.4512,
107 chemicals,"1,2-dichlorobenzene",95-50-1,147,-16.7,3.43,-0.98,143.325,
107 chemicals,dichloromethane,75-09-2,84.93,-95.1,1.25,-1.19,15117.54,
107 chemicals,tetrachloroethylene,127-18-4,165.83,-22.3,3.4,-0.52,276.9361,
107 chemicals,"2,3-dimethyl-1,3-butadiene",513-81-5,82.14,-76,3.07,0.95,326.9172,
107 chemicals,Eugenol F,97-53-0,164.2,-9.1,2.27,-4.85,840.704,
107 chemicals,Methyl-antranilate,134-20-3,151.16,24.5,1.88,-6.32,2872.04,
107 chemicals,Lilyfore,285977-85-7,176.25,50.8,3.24,-5.78,222.075,
107 chemicals,Damascone beta,23726-91-2,192.3,17.5,4.29,-2.6,7.98045,
107 chemicals,Veloutone,14595-54-1,222.37,40.4,5.28,-3.52,0.9384014,
107 chemicals,Verdox,82356-51-2,236.39,60.7,6.45,-1.88,0.15223516,
107 chemicals,Nirvanol,1506-02-1,258.4,54.5,5.7,-3.69,1.250656,
107 chemicals,Cetalox,3738-00-9,236.39,60.7,5.4,-1.56,2.434817,
107 chemicals,Tonalide,21145-77-7,258.4,54.5,5.7,-3.69,1.250656,
107 chemicals,"2,4-Dinitrophenol",51-28-5,184.11,116,1.67,-6.32,1441.5813,
107 chemicals,Aldrin,309-00-2,364.91,129,6.5,-1.68,0.026310011,
107 chemicals,Azinphos-methyl,86-50-0,317.32,73,2.75,-13.3,23.132628,
107 chemicals,Chlorpyrifos,2921-88-2,350.59,42,4.96,-4.17,1.1499352,
107 chemicals,"DDD-p,p'",50-29-3,354.49,108,6.91,-3.82,0.006699861,
107 chemicals,"DDT-o,p'",789-02-6,354.49,116,6.56,-3.95,0.07656984,
107 chemicals,"DDT-p,p'",72-54-8,320.04,110,6.12,-3.32,0.09025128,
107 chemicals,Diazinon,333-41-5,304.35,52.6,3.81,-5.17,47.4786,
107 chemicals,Dicofol,115-32-2,370.49,77.5,5.02,-6.03,0.8632417,
107 chemicals,Dieldrin,60-57-1,380.91,202,5.12,-4.26,0.20835777,
107 chemicals,Disulfoton,298-04-4,274.4,-25,4.02,-5.26,18.05552,
