List,SubstanceName,CASRN,DTXSID,Molecular Weight,OPERABoilingPoint,OPERAHenryLawConstant,OPERAMeltingPoint,OPERAOctanolAirPartitionCoefficient,OPERAOctanolWaterDistributionCoefficient,OPERAOctanolWaterPartitionCoefficient,OPERAVaporPressure,OPERAWaterSolubility
Custom Chemical List 1,"3,4-Dichloroaniline",95-76-1,DTXSID7021815,160.98,267,-6.76,72,7.51,2.69,2.69,-2.19,-3.02
Custom Chemical List 1,Trimellitic anhydride,552-30-7,DTXSID7026235,192.006,390,-10.7,162,9.36,-2.97,-0.59,-5.01,-2.32
Custom Chemical List 1,Dichloromethane,75-09-2,DTXSID0020868,83.953,40,-2.49,-95,2.29,1.25,1.25,2.64,-0.75
Custom Chemical List 1,Caffeine,58-08-2,DTXSID0020232,194.08,286,-5.81,238,8.52,-0.07,-0.07,-5.69,-0.95
Custom Chemical List 1,Aldrin,309-00-2,DTXSID8020040,361.876,324,-4.36,133,8.66,6.5,6.5,-3.92,-7.14
Custom Chemical List 1,Azathioprine,446-86-6,DTXSID4020119,277.038,324,-7.31,243,10.67,-1.32,0.1,-9.68,-3.44
Custom Chemical List 1,Fenazaquin,120928-09-8,DTXSID4040476,306.173,353,-5.87,79,10.32,5.45,5.51,-7.59,-6.31
Custom Chemical List 1,4:2 Fluorotelomer sulfonic acid,757124-72-4,DTXSID30891564,327.982,216,-9.61,91,4.77,-3.21,3.26,-5.88,-2.62
Custom Chemical List 1,"2,4,6-Trichlorophenol",88-06-2,DTXSID5021386,195.925,246,-5.87,69,7,3.24,3.69,-2.09,-2.37
Custom Chemical List 1,Parathion,56-38-2,DTXSID7021100,291.033,375,-6.53,6,9.33,3.8,3.83,-5.17,-4.36
Custom Chemical List 1,Aniline,62-53-3,DTXSID8020090,93.058,184,-5.69,-6,4.94,0.9,0.9,-0.31,-0.41
Custom Chemical List 1,Endrin,72-20-8,DTXSID6020561,377.871,330,-5.08,202,8.56,5.12,5.12,-5.23,-6.27
Custom Chemical List 1,Allyl alcohol,107-18-6,DTXSID8020044,58.042,97,-5.3,-129,3.76,0.17,0.17,1.42,1.23
Custom Chemical List 1,DEET,134-62-3,DTXSID2021995,191.131,290,-6.84,-44,7.25,2.17,2.18,-2.7,-2.32
Custom Chemical List 1,Permethrin,52645-53-1,DTXSID8022292,390.079,401,-7.62,34,11.68,6.5,6.5,-7.66,-6.67
Custom Chemical List 1,N-Methylaniline,100-61-8,DTXSID9021841,107.073,196,-5.05,-57,5.71,1.66,1.66,-0.35,-1.28
Custom Chemical List 1,4-Chlorophenol,106-48-9,DTXSID1021871,128.003,220,-6.2,43,5.97,2.39,2.39,-1.05,-0.72
Custom Chemical List 1,"1H-Indene-2-methanol, 2,3-dihydro-2,5-dimethyl-",285977-85-7,DTXSID5051367,176.12,254,-6.15,61,8.56,2.85,2.85,-1.89,-2.62
Custom Chemical List 1,"2,2',4,4',5,5'-Hexabromodiphenyl ether",68631-49-2,DTXSID4030047,637.536,415,-2.35,222,11.71,7.9,7.9,-7.2,-8.03
Custom Chemical List 1,Pentachlorophenol,87-86-5,DTXSID7021106,263.847,309,-7.61,174,8.46,5.1,5.12,-3.96,-3.82
Custom Chemical List 1,Dimethylbutadiene,513-81-5,DTXSID2022046,82.078,69,-1.35,-78,2.81,1.96,1.96,2.18,-2.4
Custom Chemical List 1,Fluazinam,79622-59-6,DTXSID7032551,463.951,346,-10.8,113,10.75,3.99,4.01,-10,-5.98
Custom Chemical List 1,alpha-Cypermethrin,67375-30-8,DTXSID7041201,415.074,424,-8.68,81,11.7,6.6,6.6,-8.51,-7.45
Custom Chemical List 1,Amiodarone,1951-25-3,DTXSID7022592,645.024,469,-5.98,104,11.68,7.23,7.57,-9.09,-5.26
Custom Chemical List 1,Topiramate,97240-79-4,DTXSID8023688,339.099,277,-8.03,89,9.35,0.26,0.26,-4.98,0.5
Custom Chemical List 1,Furosemide,54-31-9,DTXSID6020648,330.008,273,-9.6,198,9.24,-1.65,2.03,-9.71,-3.88
Custom Chemical List 1,Perfluoroheptanoic acid,375-85-9,DTXSID1037303,363.977,177,-9.68,35,4.09,-5.28,2.06,-1.18,-0.5
Custom Chemical List 1,Hexachlorophene,70-30-4,DTXSID6020690,403.85,479,-10.4,167,9.35,7.54,7.54,-8.25,-3.46
Custom Chemical List 1,Cyclosporin A,59865-13-3,DTXSID0020365,1201.841,380,-10.7,150,9.63,2.92,2.92,-6.9,-3.74
Custom Chemical List 1,Digoxin,20830-75-5,DTXSID5022934,780.43,409,-9.88,222,9.56,1.25,1.26,-9.13,-4.12
Custom Chemical List 1,Heptachlor epoxide B,1024-57-3,DTXSID1024126,385.816,329,-4.68,160,9.4,4.98,4.98,-4.71,-6.25
Custom Chemical List 1,Ibuprofen,15687-27-1,DTXSID5020732,206.131,281,-7.09,103,8.76,1.25,3.74,-2.08,-3.76
Custom Chemical List 1,Diazinon,333-41-5,DTXSID9020407,304.101,343,-6.95,20,9.83,3.81,3.81,-4.05,-3.81
Custom Chemical List 1,Naphthalene,91-20-3,DTXSID8020913,128.063,218,-3.36,80,5.17,3.3,3.3,-1.07,-3.61
Custom Chemical List 1,Methenamine,100-97-0,DTXSID6020692,140.106,191,-6.82,107,4.32,-0.25,-0.16,-2.4,-0.61
Custom Chemical List 1,Tetrachloroethylene,127-18-4,DTXSID2021319,163.875,121,-1.75,-22,3.51,3.4,3.4,1.26,-2.78
Custom Chemical List 1,Heptachlor,76-44-8,DTXSID3020679,369.821,310,-3.53,96,7.77,6.1,6.1,-3.4,-6.42
Custom Chemical List 1,Perfluorobutanesulfonic acid,375-73-5,DTXSID5030030,299.95,211,-9.53,106,4.16,-5.89,3.12,-7.94,-2.14
Custom Chemical List 1,Warfarin,81-81-2,DTXSID5023742,308.105,398,-8.21,161,10.66,2.7,2.7,-6.94,-4.02
Custom Chemical List 1,Dieldrin,60-57-1,DTXSID9020453,377.871,330,-5.08,202,8.56,5.12,5.12,-5.23,-6.27
Custom Chemical List 1,"2,2,2-Trichloroethanol",115-20-8,DTXSID1021950,147.925,152,-5.23,19,4.41,1.42,1.42,0.26,-0.25
Custom Chemical List 1,Methyl 2-aminobenzoate,134-20-3,DTXSID6025567,151.063,256,-7.96,25,7.71,1.88,1.88,-1.57,-1.72
Custom Chemical List 1,"1,2,4-Trichlorobenzene",120-82-1,DTXSID0021965,179.93,213,-2.85,18,4.96,3.99,3.99,-0.34,-3.67
Custom Chemical List 1,"p,p'-DDD",72-54-8,DTXSID4020373,317.954,350,-5.18,105,10.02,6.13,6.13,-5.87,-6.55
Custom Chemical List 1,"2,4-Dichlorophenoxyacetic acid",94-75-7,DTXSID0020442,219.969,300,-8.53,141,8.65,-0.27,2.81,-6.54,-2.16
Custom Chemical List 1,Perfluorobutanoic acid,375-22-4,DTXSID4059916,213.986,121,-4.3,-18,3.46,-4.28,1.43,1.53,-2.68
Custom Chemical List 1,(+)-(S)-Naproxen,22204-53-1,DTXSID4040686,230.094,324,-8.97,153,9.75,2.56,3.18,-6.59,-4.24
Custom Chemical List 1,Perfluorohexanesulfonic acid,355-46-4,DTXSID7040150,399.944,238,-9.71,190,4.27,-6.84,2.2,-8.09,-3.21
Custom Chemical List 1,8:2 Fluorotelomer sulfonic acid,39108-34-4,DTXSID00192353,527.969,224,-10.8,162,6.22,2.01,6.18,-5,-3.17
Custom Chemical List 1,"2,4-Dinitrophenol",51-28-5,DTXSID0020523,184.012,350,-7.06,115,7.34,0.93,1.67,-3.41,-2.6
Custom Chemical List 1,DDT,50-29-3,DTXSID4020375,351.915,371,-5.08,108,9.57,6.91,6.91,-6.79,-7.71
Custom Chemical List 1,Benzocaine,94-09-7,DTXSID8021804,165.079,307,-8.53,92,7.76,1.86,1.86,-1.5,-2.29
Custom Chemical List 1,Disulfoton,298-04-4,DTXSID0022018,274.028,313,-5.32,-25,9.36,4.02,4.02,-4.01,-4.18
