"","Chemical","CAS","Model","Obs.val","pre.val","ref","Cell.type","Data.source","MassBalanceIssue","IOC","conc","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"1","2,4-Dinitrophenol","51-28-5","Fischer et al. (2017)",0.302633333333333,1.003901682,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","A",10,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-0.519083238621326,0.00169118187704436,0.52077442049837,0.52077442049837
"2","Aldrin","309-00-2","Fischer et al. (2017)",0.00166666666666667,0.002799,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.77815125038364,-2.55299710153384,0.225154148849806,0.225154148849806
"3","Azinphos-methyl","86-50-0","Fischer et al. (2017)",0.420233333333333,0.455,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.376509501885872,-0.341988603342888,0.0345208985429847,0.0345208985429847
"4","Chlorpyrifos","2921-88-2","Fischer et al. (2017)",0.00266666666666667,0.069856586,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.57403126772772,-1.1557926428265,1.41823862490122,1.41823862490122
"5","DDD-p,p'","50-29-3","Fischer et al. (2017)",0.00316666666666667,0.000182363,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.49939764943081,-3.7390632719607,-1.23966562252989,1.23966562252989
"6","DDT-o,p'","789-02-6","Fischer et al. (2017)",0.00163333333333333,0.000482435,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.78692517469115,-3.31656119225374,-0.529636017562593,0.529636017562593
"7","DDT-p,p'","72-54-8","Fischer et al. (2017)",0.00123333333333333,0.0005083,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.90891953065267,-3.2938798902973,-0.384960359644629,0.384960359644629
"8","Diazinon","333-41-5","Fischer et al. (2017)",0.0682333333333333,0.272632608,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.16600341205716,-0.564422201958622,0.601581210098535,0.601581210098535
"9","Dicofol","115-32-2","Fischer et al. (2017)",0.0166,0.0145,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.77989191195995,-1.83863199776503,-0.0587400858050802,0.0587400858050802
"10","Dieldrin","60-57-1","Fischer et al. (2017)",0.0159,0.012606874,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.79860287567955,-1.89939258772131,-0.100789712041764,0.100789712041764
"11","Disulfoton","298-04-4","Fischer et al. (2017)",0.722033333333333,0.214125215,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.141442752363097,-0.66933218795747,-0.527889435594374,0.527889435594374
"12","Endosulfan I","115-29-7","Fischer et al. (2017)",0.0263666666666667,0.136912449,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.57894477122199,-0.863557061097576,0.71538771012441,0.71538771012441
"13","Endrin","72-20-8","Fischer et al. (2017)",0.0164333333333333,0.102730395,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.78427433544243,-0.988301042013468,0.795973293428964,0.795973293428964
"14","Ethion","563-12-2","Fischer et al. (2017)",0.00425,0.084710254,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.37161106994969,-1.07206401604382,1.29954705390587,1.29954705390587
"15","Heptachlor","76-44-8","Fischer et al. (2017)",0.00446666666666667,0.005303188,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.35001645635485,-2.27546297670656,0.0745534796482934,0.0745534796482934
"16","Heptachlor epoxide B","1024-57-3","Fischer et al. (2017)",0.0279,0.008431,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.5543957967264,-2.0741209106985,-0.519725113972097,0.519725113972097
"17","Lindane","58-89-9","Fischer et al. (2017)",0.3132,0.238934423,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.504178246614094,-0.621721277449768,-0.117543030835673,0.117543030835673
"18","Methoxychlor-o,p'","72-43-5","Fischer et al. (2017)",0.00556666666666667,0.006093616,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.25440478357208,-2.21512491708669,0.0392798664853888,0.0392798664853888
"19","Parathion","56-38-2","Fischer et al. (2017)",0.0631666666666667,0.271000583,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.19951204041557,-0.567029774832566,0.632482265583005,0.632482265583005
"20","Trifluralin","1582-09-8","Fischer et al. (2017)",0.0145666666666667,0.027100432,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-1.83663981774924,-1.56702378611007,0.269616031639175,0.269616031639175
"21","2,4-Dinitrophenol","51-28-5","Fischer et al. (2017)",0.0967666666666667,1.003901682,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","A",1,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-1.01427421888799,0.00169118187704436,1.01596540076503,1.01596540076503
"22","Aldrin","309-00-2","Fischer et al. (2017)",0.0066,0.002799,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.18045606445813,-2.55299710153384,-0.372541037075707,0.372541037075707
"23","Azinphos-methyl","86-50-0","Fischer et al. (2017)",0.3653,0.455,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.437350327788083,-0.341988603342888,0.0953617244451958,0.0953617244451958
"24","Chlorpyrifos","2921-88-2","Fischer et al. (2017)",0.00373333333333333,0.069856586,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.42790323204948,-1.1557926428265,1.27211058922298,1.27211058922298
"25","DDD-p,p'","50-29-3","Fischer et al. (2017)",0.0024,0.000182363,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.61978875828839,-3.7390632719607,-1.11927451367231,1.11927451367231
"26","DDT-o,p'","789-02-6","Fischer et al. (2017)",0.0039,0.000482435,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.4089353929735,-3.31656119225374,-0.907625799280241,0.907625799280241
"27","DDT-p,p'","72-54-8","Fischer et al. (2017)",0.0015,0.0005083,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.82390874094432,-3.2938798902973,-0.469971149352978,0.469971149352978
"28","Diazinon","333-41-5","Fischer et al. (2017)",0.0183,0.272632608,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.73754891026957,-0.564422201958622,1.17312670831095,1.17312670831095
