"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"1","cyclosporine A","59865-13-3","Fischer et al. (2017)",6.32e-05,0.000946171,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.19928292171762,-3.02403036714455,1.17525255457307,1.17525255457307
"2","cyclosporine A","59865-13-3","Fischer et al. (2017)",2.81e-05,0.000946171,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-3.02403036714455,1.52726331295037,1.52726331295037
"3","cyclosporine A","59865-13-3","Fischer et al. (2017)",2.81e-05,0.000946171,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-3.02403036714455,1.52726331295037,1.52726331295037
"4","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.004589474,0.009461711,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.33823708613762,-2.02403032124434,0.314206764893274,0.314206764893274
"5","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.000598246,0.009461711,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.2231201964901,-2.02403032124434,1.19908987524576,1.19908987524576
"6","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.001914035,0.009461711,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.71805012498766,-2.02403032124434,0.694019803743315,0.694019803743315
"7","cyclosporine A","59865-13-3","Fischer et al. (2017)",7.42e-05,0.000963259,0.001,0.5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.12959609472097,-3.0162569245604,1.11333917016057,1.11333917016057
"8","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.001138061,0.009632593,0.01,5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.9438344591594,-2.01625678930257,0.927577669856829,0.927577669856829
"9","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.000267949,0.000180298,0.000375,0.25,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.57194785942758,-3.74400909076945,-0.172061231341871,0.172061231341871
"10","cyclosporine A","59865-13-3","Fischer et al. (2017)",0.001483226,0.001802983,0.00375,2.5,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.82879267022927,-2.74400836814227,0.0847843020870025,0.0847843020870025
