"Chemical.Number","Chemical.Name","Chemical.Class.Sarah.orig","Chemical.Class","CAS","Peak_Frequency_up","Peak_Frequency_dn","Peak_Decay_Rise_Ratio_up","Peak_Frequency_zero","Total_Cells_zero","Min","Chemical"
193,"4-nitroaniline","Chemical intermediate","Chemical intermediate","100-01-6",47.71375,1447.9,2.110605,58347.1,2434.435,2.110605,"4-nitroaniline"
944,"caprolactam","Chemical intermediate","Chemical intermediate","105-60-2",249.7,8.102415,10.1057,5708.855,32.0526,8.102415,"caprolactam"
573,"1,4-dichlorobenzene","Chemical intermediate","Chemical intermediate","106-46-7",0.2547005,1000,1000,37427.25,2331.935,0.2547005,"1,4-dichlorobenzene"
541,"Chloroaniline, p-","Chemical intermediate","Chemical intermediate","106-47-8",28.36855,738.8395,255.4665,7727.095,1584.765,28.36855,"p-chloroaniline"
520,"phenol","Chemical intermediate","Chemical intermediate","108-95-2",550.5805,212.9745,1000,20294.5,599.9965,212.9745,"phenol"
728,"tris(2-chloroethyl)phosphate","Flame retardant","Flame retardant","115-96-8",190.237,35.9154,67.4816,869.7795,3328.535,35.9154,"tris(2-chloroethyl)phosphate"
82,"di-n-octyl phthalate","Plasticizer","Plasticizer","117-84-0",117.0065,1245.805,105.969,47200.35,3713.54,105.969,"di-n-octyl phthalate"
536,"tris(1,3-Dichloro-2-propyl) phosphate","Flame retardant","Flame retardant","13674-87-8",0.155975,53.9773,48.5719,1594.39,78.5439,0.155975,"tris(1,3-dichloro-2-propyl) phosphate"
349,"2-mercaptobenzothiazole","Microbiocide","Microbiocide","149-30-4",15.6856,1054.02,1000,44700.2,2279.715,15.6856,"2-mercaptobenzothiazole"
748,"perfluorooctanesulfonic acid","Surfactant","Surfactant","1763-23-1",23.62835,1000,574.8445,44766.25,121.5105,23.62835,"perfluorooctanesulfonic acid"
215,"mirex","Pesticide","Pesticide","2385-85-5",132.141,1000,360.431,46610.9,4022.165,132.141,"mirex"
381,"potassium perfluorobutanesulfonate","Flame retardant","Flame retardant","29420-49-3",1215.76,116.2285,101.764,30284.55,125.6125,101.764,"potassium perfluorobutanesulfonate"
481,"perfluorononanoic acid","Surfactant","Surfactant","375-95-1",377.3355,411.4875,38.14935,25360.3,632.058,38.14935,"perfluorononanoic acid"
