CAS,Fischer,IVBMB,VIVD,VCBA
87-61-6,0.057300098,0.018455962,0.0544447,0.056959196
83-32-9,0.083274131,0.052015053,0.0808705,0.079653293
309-00-2,0.00256572,0.000894998,0.00134069,0.000268343
86-50-0,0.461818717,0.376318114,0.612114,0.532217409
92-87-5,0.612349641,0.855203701,0.980311,0.957569365
2921-88-2,0.066699952,0.008328364,0.00944567,0.008459869
115-32-2,0.012911436,0.007771547,0.00889428,0.007403237
60-57-1,0.011836905,0.00690581,0.00803122,0.005925261
115-29-7,0.131542948,0.065569152,0.0991303,0.095647301
206-44-0,0.008388444,0.006580718,0.00770463,0.005419744
58-89-9,0.236958326,0.081298831,0.126143,0.118906606
76-44-8,0.004704352,0.00177335,0.00247236,0.000659927
91-20-3,0.266246375,0.14707122,0.287588,0.252117304
106-44-5,0.719805446,0.699545273,0.920181,0.866516014
87-86-5,0.008468863,0.006906422,0.00803123,0.005925283
92-52-4,0.108921626,0.042103413,0.0657742,0.066163652
95-94-3,0.023989397,0.008542245,0.0152414,0.017923306
99-65-0,0.80326469,0.824024189,0.971893,0.943231362
106-46-7,0.176945123,0.01702663,0.184688,0.193068752
93-76-5,0.14272449,0.171766542,0.284184,0.250168459
149-30-4,0.535841736,0.518788884,0.780433,0.699107866
99-08-1,0.521479766,0.400666981,0.761886,0.685310378
100-01-6,7.18E-01,0.845794959,0.977837,0.953249533
99-99-0,0.514331152,0.457254528,0.796792,0.721376356
85-68-7,4.04E-02,0.009754733,0.010838,0.011541569
75-60-5,,1.001227783,0.998241,NA
105-60-2,0.993794593,0.966099839,0.998311,0.990316462
117-84-0,4.42E-05,3.37E-05,5.35E-05,7.15E-06
77-47-4,1.81E-02,0.002767299,0.00841413,0.006976842
78-93-3,0.995413179,0.658494776,0.989068,0.985759908
2385-85-5,0.006472158,0.000433847,0.000677425,0.000111371
98-95-3,0.746381594,0.608611158,0.930524,0.885579163
72-55-9,2.05E-04,0.000578048,0.000889559,0.000156233
106-47-8,0.68560615,0.73076147,0.937726,0.89117838
375-95-1,,0.004501287,0.00277855,0.000705957
1763-23-1,,0.005002118,0.00324444,0.000924345
108-95-2,0.856357201,0.998848001,0.971943,0.946420041
92-84-2,0.027298464,0.033530492,0.0475531,0.049438709
29420-49-3,,0.97644977,0.971882,0.942123833
13674-87-8,0.206497138,0.093443492,0.146464,0.136112881
115-96-8,0.874518287,0.835869202,0.975055,0.94847352
