CAS,fup
87-61-6,0.006599
83-32-9,0.01208
309-00-2,0.0001356
86-50-0,0.1138
92-87-5,0.1917
2921-88-2,0.001263
115-32-2,1.00E-04
60-57-1,0.0009356
115-29-7,0.0171
206-44-0,0.0008882
58-89-9,0.01011
76-44-8,0.0001366
91-20-3,0.01271
106-44-5,0.2702
87-86-5,0.003688
92-52-4,0.0072
95-94-3,0.0007625
99-65-0,0.3593
106-46-7,0.01569
93-76-5,0.0127
149-30-4,0.02144
99-08-1,0.06668
100-01-6,1.00E-04
99-99-0,0.1828
85-68-7,1.00E-04
75-60-5,0.9058
105-60-2,0.7572
117-84-0,0.0001362
77-47-4,1.00E-04
78-93-3,0.8636
2385-85-5,0.0001358
98-95-3,0.3207
72-55-9,1.00E-04
106-47-8,0.2336
375-95-1,0.000992
1763-23-1,0.003592
108-95-2,0.5487
92-84-2,0.003002
29420-49-3,0.01933
13674-87-8,0.007976
115-96-8,0.4042
