"","Chemical","CAS","MW","Compound.type","Salting.out.Constant","Melting.Point_Celsius.degree","pKa","Water.Solubility_mgperL","LogKOW","LogKAW","CNOM_uM","Time","Q_met","C_cells","C_air","C_plastic","C_free_diss","C_IW","C_lyso","C_mito","C_parent","Q_parent","Q_media_free","Q_cells","Q_media","Q_air","Q_plastic","Q_IW","Q_lyso"
"1","PBDE 47","5436-43-1",485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,0.67,60,0,0.00469858,7.33071e-13,3.56977e-07,1.04338e-09,0.00469858,0.00469858,0.00469858,6.7e-07,6.7e-10,1.04338e-12,6.04341e-10,1.04338e-12,4.32502e-15,6.46113e-11,5.37863e-10,6.04341e-12
"2","PBDE 99","60348-60-9",564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,0.67,60,0,0.00471944,8.07364e-14,3.4615e-07,3.23866e-10,0.00471944,0.00471944,0.00471944,6.7e-07,6.7e-10,3.23866e-13,6.07024e-10,3.23866e-13,4.76335e-16,6.26516e-11,5.40251e-10,6.07024e-12
"3","PBDE 153","68631-49-2",643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,0.67,60,0,0.00473853,9.30729e-15,3.33901e-07,8.55301e-11,0.00473853,0.00473853,0.00473853,6.7e-07,6.7e-10,8.55301e-14,6.0948e-10,8.55301e-14,5.49118e-17,6.04346e-11,5.42437e-10,6.0948e-12
"4","PBDE 47","5436-43-1",485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,3.67,60,0,0.025737,4.01548e-12,1.95538e-06,5.71522e-09,0.025737,0.025737,0.025737,3.67e-06,3.67e-09,5.71522e-12,3.31035e-09,5.71522e-12,2.36908e-14,3.53916e-10,2.94621e-09,3.31035e-11
"5","PBDE 99","60348-60-9",564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,3.67,60,0,0.0258513,4.42243e-13,1.89608e-06,1.77401e-09,0.0258513,0.0258513,0.0258513,3.67e-06,3.67e-09,1.77401e-12,3.32504e-09,1.77401e-12,2.60918e-15,3.43181e-10,2.95929e-09,3.32504e-11
"6","PBDE 153","68631-49-2",643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,3.67,60,0,0.0259558,5.09817e-14,1.82898e-06,4.68501e-10,0.0259558,0.0259558,0.0259558,3.67e-06,3.67e-09,4.68501e-13,3.33849e-09,4.68501e-13,3.00785e-16,3.31037e-10,2.97126e-09,3.33849e-11
"7","PBDE 47","5436-43-1",485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,10.67,60,0,0.0748266,1.16744e-11,5.685e-06,1.66162e-08,0.0748266,0.0748266,0.0748266,1.067e-05,1.067e-08,1.66162e-11,9.62436e-09,1.66162e-11,6.88776e-14,1.02896e-09,8.56568e-09,9.62436e-11
"8","PBDE 99","60348-60-9",564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,10.67,60,0,0.0751588,1.28576e-12,5.51257e-06,5.15769e-09,0.0751588,0.0751588,0.0751588,1.067e-05,1.067e-08,5.15769e-12,9.66708e-09,5.15769e-12,7.58581e-15,9.97751e-10,8.6037e-09,9.66708e-11
"9","PBDE 153","68631-49-2",643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,10.67,60,0,0.0754629,1.48222e-13,5.3175e-06,1.3621e-09,0.0754629,0.0754629,0.0754629,1.067e-05,1.067e-08,1.3621e-12,9.70619e-09,1.3621e-12,8.74491e-16,9.62444e-10,8.63851e-09,9.70619e-11
"10","PBDE 47","5436-43-1",485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,30.67,60,0,0.215083,3.35571e-11,1.6341e-05,4.77618e-08,0.215083,0.215083,0.215083,3.067e-05,3.067e-08,4.77618e-11,2.76644e-08,4.77618e-11,1.97983e-13,2.95765e-09,2.46213e-08,2.76644e-10
"11","PBDE 99","60348-60-9",564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,30.67,60,0,0.216038,3.6958e-12,1.58454e-05,1.48253e-08,0.216038,0.216038,0.216038,3.067e-05,3.067e-08,1.48253e-11,2.77872e-08,1.48253e-11,2.18048e-14,2.86795e-09,2.47306e-08,2.77872e-10
"12","PBDE 153","68631-49-2",643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,30.67,60,0,0.216912,4.26051e-13,1.52847e-05,3.91524e-09,0.216912,0.216912,0.216912,3.067e-05,3.067e-08,3.91524e-12,2.78996e-08,3.91524e-12,2.51365e-15,2.76646e-09,2.48307e-08,2.78996e-10
