,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,PBDE 47,5436-43-1,485.79,37.7,225,6.81,6.70E-07,5.74E-08,3.18E-12,0.001239883,2.18E-10,100000,2.45E-16,1.12E-19,0.00031865
2,PBDE 99,60348-60-9,564.69,53.195625,241,7.32,6.70E-07,4.23E-08,1.06E-12,0.001476994,5.14E-11,100000,2.45E-16,1.12E-19,0.000379587
3,PBDE 153,68631-49-2,643.58,452.92275,257,7.9,6.70E-07,2.96E-08,1.74E-12,0.001717177,9.88E-12,100000,2.45E-16,1.12E-19,0.000441314
4,PBDE 47,5436-43-1,485.79,37.7,225,6.81,3.67E-06,3.15E-07,1.74E-11,0.006791596,1.19E-09,100000,2.45E-16,1.12E-19,0.00174544
5,PBDE 99,60348-60-9,564.69,53.195625,241,7.32,3.67E-06,2.31E-07,5.81E-12,0.0080904,2.82E-10,100000,2.45E-16,1.12E-19,0.002079233
6,PBDE 153,68631-49-2,643.58,452.92275,257,7.9,3.67E-06,1.62E-07,9.51E-12,0.009406027,5.41E-11,100000,2.45E-16,1.12E-19,0.002417349
7,PBDE 47,5436-43-1,485.79,37.7,225,6.81,1.07E-05,9.15E-07,5.07E-11,0.019745594,3.47E-09,100000,2.45E-16,1.12E-19,0.005074618
8,PBDE 99,60348-60-9,564.69,53.195625,241,7.32,1.07E-05,6.73E-07,1.69E-11,0.023521681,8.19E-10,100000,2.45E-16,1.12E-19,0.006045072
9,PBDE 153,68631-49-2,643.58,452.92275,257,7.9,1.07E-05,4.72E-07,2.76E-11,0.027346677,1.57E-10,100000,2.45E-16,1.12E-19,0.007028096
10,PBDE 47,5436-43-1,485.79,37.7,225,6.81,3.07E-05,2.63E-06,1.46E-10,0.056757018,9.97E-09,100000,2.45E-16,1.12E-19,0.014586554
11,PBDE 99,60348-60-9,564.69,53.195625,241,7.32,3.07E-05,1.93E-06,4.86E-11,0.067611053,2.35E-09,100000,2.45E-16,1.12E-19,0.017376041
12,PBDE 153,68631-49-2,643.58,452.92275,257,7.9,3.07E-05,1.36E-06,7.95E-11,0.078605679,4.52E-10,100000,2.45E-16,1.12E-19,0.02020166
