Chemical,CAS,MW,H37,vb,logkow,CNOM_M
PBDE 47,5436-43-1,485.79,3.77E+01,225,6.81,6.70E-07
PBDE 99,60348-60-9,564.69,53.195625,241,7.32,6.70E-07
PBDE 153,68631-49-2,643.58,452.92275,257,7.9,6.70E-07
PBDE 47,5436-43-1,485.79,3.77E+01,225,6.81,0.00000367
PBDE 99,60348-60-9,564.69,53.195625,241,7.32,0.00000367
PBDE 153,68631-49-2,643.58,452.92275,257,7.9,0.00000367
PBDE 47,5436-43-1,485.79,3.77E+01,225,6.81,0.00001067
PBDE 99,60348-60-9,564.69,53.195625,241,7.32,0.00001067
PBDE 153,68631-49-2,643.58,452.92275,257,7.9,0.00001067
PBDE 47,5436-43-1,485.79,3.77E+01,225,6.81,0.00003067
PBDE 99,60348-60-9,564.69,53.195625,241,7.32,0.00003067
PBDE 153,68631-49-2,643.58,452.92275,257,7.9,0.00003067
