Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
PBDE 47,5436-43-1,485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,0.67
PBDE 99,60348-60-9,564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,0.67
PBDE 153,68631-49-2,643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,0.67
PBDE 47,5436-43-1,485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,3.67
PBDE 99,60348-60-9,564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,3.67
PBDE 153,68631-49-2,643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,3.67
PBDE 47,5436-43-1,485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,10.67
PBDE 99,60348-60-9,564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,10.67
PBDE 153,68631-49-2,643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,10.67
PBDE 47,5436-43-1,485.79,1,19.5456,152,5,0.04420689,6.81,-3.56,30.67
PBDE 99,60348-60-9,564.69,1,22.7016,177,5,0.014343126,7.32,-4.01,30.67
PBDE 153,68631-49-2,643.58,1,25.8572,197,5,0.001950047,7.9,-4.37,30.67
