Compound,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
Cisapride,81098-60-4,465.95,2,0.2536,199.43,7.8,33.2,3.49,-14.415,10
Citalopram hydrobromide,59729-33-8,324.39,1,0.242,153.367,7.4,30,3.2,-8.356,10
Disopyramide phosphate,22059-60-5,,,,,,,,,
Dofetilide,115256-11-6,441.56,2,0.20292,230.64,8.4,249,2.223,-13.462,10
Moxifloxacin hydrochloride,186826-86-8,401.43,4,0.1572,266.857,6,724,1.13,-14.842,10
N-acetylpro-cainamide,32795-44-1,277.36,2,0.156,174.123,9.2,8240,1.1805,-12.236,10
Quinidine sulfate,50-54-4,324.42,2,0.24308,180.1,9.3,743,3.227,-10.922,10
Sematilide,101526-83-4,313.42,2,0.158,177.473,9.1,11000,1.1,-12.441,10
Sotalol hydrochloride,959-24-0,272.36,2,0.12332,165.84,9,47100,0.233,-11.578,10
Vernakalant,748810-28-8,,,,,,,,,
Cabazitaxel,183133-96-2,,,,,,,,,
Lamotrigine,84057-84-1,256.09,2,0.2168,207,6.6,249.94384,2.57,-9.7,10
Mifepristone,84371-65-3,429.59,1,0.30908,241.967,7.4,0.826,4.877,-11.407,10
