"","Compound","CAS","MW","Compound.type","Salting.out.Constant","Melting.Point_Celsius.degree","pKa","Water.Solubility_mgperL","LogKOW","LogKAW","CNOM_uM","Q_cells","Q_media_free","Q_media","F_free_media"
"1","Cisapride","81098-60-4",465.95,2,0.2536,199.43,7.8,33.2,3.49,-14.415,10,7.04529e-46,1.44281e-09,2.80189e-09,0.480937
"2","Citalopram hydrobromide","59729-33-8",324.39,1,0.242,153.367,7.4,30,3.2,-8.356,10,1.56056e-45,1.95517e-09,2.85953e-09,0.651725
"3","Disopyramide phosphate","22059-60-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04529e-46,1.44281e-09,1.44281e-09,0.480937
"4","Dofetilide","115256-11-6",441.56,2,0.20292,230.64,8.4,249,2.223,-13.462,10,1.26787e-46,2.86171e-09,2.97681e-09,0.953902
"5","Moxifloxacin hydrochloride","186826-86-8",401.43,4,0.1572,266.857,6,724,1.13,-14.842,10,2.88762e-47,2.98996e-09,2.99789e-09,0.996654
"6","N-acetylpro-cainamide","32795-44-1",277.36,2,0.156,174.123,9.2,8240,1.1805,-12.236,10,1.60418e-46,2.98866e-09,2.99764e-09,0.996219
"7","Quinidine sulfate","50-54-4",324.42,2,0.24308,180.1,9.3,743,3.227,-10.922,10,1.62496e-46,1.91698e-09,2.85371e-09,0.638993
"8","Sematilide","101526-83-4",313.42,2,0.158,177.473,9.1,11000,1.1,-12.441,10,1.48188e-46,2.99067e-09,2.99803e-09,0.99689
"9","Sotalol hydrochloride","959-24-0",272.36,2,0.12332,165.84,9,47100,0.233,-11.578,10,1.37917e-46,2.99886e-09,2.99971e-09,0.99962
"10","Vernakalant","748810-28-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04529e-46,1.44281e-09,1.44281e-09,0.480937
"11","Cabazitaxel","183133-96-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04529e-46,1.44281e-09,1.44281e-09,0.480937
"12","Lamotrigine","84057-84-1",256.09,2,0.2168,207,6.6,249.94384,2.57,-9.7,10,4.98999e-46,2.69359e-09,2.95262e-09,0.897865
"13","Mifepristone","84371-65-3",429.59,1,0.30908,241.967,7.4,0.826,4.877,-11.407,10,4.30778e-45,1.08131e-10,2.67111e-09,0.0360436
