Chemical,CAS,MW,H37,vb,logkow
Cisapride,81098-60-4,465.95,1.30709E-06,359,3.49
Citalopram hydrobromide,59729-33-8,324.39,0.4032735,273,3.2
Disopyramide phosphate,22059-60-5,,,,
Dofetilide,115256-11-6,441.56,0.00133749,328,2.223
Moxifloxacin hydrochloride,186826-86-8,401.43,4.32658E-06,285,1.13
N-acetylpro-cainamide,32795-44-1,277.36,1.80359E-06,253,1.1805
Quinidine sulfate,50-54-4,324.42,0.000272564,266,3.227
Sematilide,101526-83-4,313.42,1.97584E-06,260,1.1
Sotalol hydrochloride,959-24-0,272.36,0.000188465,220,0.233
Vernakalant,748810-28-8,,,,
Cabazitaxel,183133-96-2,,,,
Lamotrigine,84057-84-1,256.09,0.000113484,163,2.57
Mifepristone,84371-65-3,429.59,0.002320343,362,4.877
