"","Chemical","CAS","MW","H37","vb","logkow","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","Cisapride","81098-60-4",465.95,1.30709e-06,359,3.49,1.0005080498333e-05,2.16672265600461e-15,0.00029764428395756,4.27326179336464e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.427109186585417
"2","Citalopram hydrobromide","59729-33-8",324.39,0.4032735,273,3.2,1.00022709221487e-05,8.75502971271407e-10,0.000129840699678206,5.59723404073193e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.559596324104519
"3","Disopyramide phosphate","22059-60-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Dofetilide","115256-11-6",441.56,0.00133749,328,2.223,1.00005685702927e-05,4.45702150379173e-12,3.27047245058359e-05,8.59295350366532e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.859246496163353
"5","Moxifloxacin hydrochloride","186826-86-8",401.43,4.32658e-06,285,1.13,1.0000141015195e-05,1.62083663764819e-14,7.33678866788838e-06,9.66039136743625e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.966025514315997
"6","N-acetylpro-cainamide","32795-44-1",277.36,1.80359e-06,253,1.1805,1.00001481094976e-05,6.74036987484122e-15,5.3236419477992e-06,9.63709042943504e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.963694769708688
"7","Quinidine sulfate","50-54-4",324.42,0.000272564,266,3.227,1.00032959951468e-05,5.79243527797981e-13,0.000135924455739704,5.47903423923435e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.547722894723153
"8","Sematilide","101526-83-4",313.42,1.97584e-06,260,1.1,1.0000137072879e-05,7.4120116443592e-15,5.56790858845091e-06,9.6735223707731e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.967338977483448
"9","Sotalol hydrochloride","959-24-0",272.36,0.000188465,220,0.233,1.00001265606026e-05,7.08195364775355e-13,4.49244987367264e-06,9.68998216517917e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.968985952973301
"10","Vernakalant","748810-28-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Cabazitaxel","183133-96-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lamotrigine","84057-84-1",256.09,0.000113484,163,2.57,1.00010267630003e-05,3.44636534188389e-13,3.39025205054338e-05,7.83072807356189e-06,9895.61296328595,0.0832720785975715,0.0234846753752129,0.782992412592312
"13","Mifepristone","84371-65-3",429.59,0.002320343,362,4.877,1.0018254100774e-05,2.78925115942002e-13,0.000918196802731764,3.09639700868629e-07,9895.61296328595,0.0832720785975715,0.0234846753752129,0.0309075511315597
