Compound,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
Caffeine,1958/8/2,194.19,1,0.1112,236.1,5,21749.28,-0.07,-9.95,2440
Lamotrigine,84057-84-1,256.09,2,0.2168,189.2,5.34,249.94384,2.57,-9.7,439
Venlafaxine,99300-78-4,277.4,2,0.1312,216,8.4,665.76,0.43,-8.46,211
Metoprolol,56392-17-7,267.36,2,0.1832,116.2,9.68,15025.632,1.88,-10.5,231
Diphenhydramine,147-24-0,255.35,2,0.2316,168,8.98,242.83785,1.59,-7.6,36
Propranolol,318-98-9,259.34,2,0.224,164,9.42,625.0094,0.74,-9.51,18.4
Diclofenac,15307-79-6,296.15,4,0.142,284,4.15,7.018755,0.7,-9.05,2.12
"2,4-Dichlorophenoxyacetic",94-75-7,221.04,4,0.2264,138,2.9,1644.5376,2.81,-7.08,49.2
(S)-Naproxen,22204-53-1,230.26,4,0.2412,153,4.15,13.35508,3.18,-9.64,17.7
Ibuprofen,15687-27-1,206.28,4,0.2632,76,4.45,35.68644,3.97,-6.22,316
Torasemide,56211-40-6,348.42,4,0.2488,225.3,6.68,79.78818,3.37,-15.3,184
Warfarin,81-81-2,308.33,4,0.222,161.5,4.9,29.692179,2.7,-11.6,242
