,Compound,CAS,MW,Compound.type,Salting.out.Constant,Melting.Point_Celsius.degree,pKa,Water.Solubility_mgperL,LogKOW,LogKAW,CNOM_uM,Time,Q_met,C_cells,C_air,C_plastic,C_free_diss,,C_IW,C_lyso,C_mito,C_parent,Q_parent,Q_media_free,Q_cells,Q_media,Q_air,Q_plastic,Q_IW,Q_lyso,,
1,Caffeine,8/2/1958,194.19,1,0.1112,236.1,5,21749.28,-0.07,-9.95,2440,1440,0,0.00230748,6.98E-13,1.77E-07,0.00243768,0.99904918,0.00230748,0.00230748,0.00230748,0.00244,5.37E-07,5.36E-07,3.26E-10,5.36E-07,9.76E-17,2.43E-11,2.90E-10,3.26E-12,,9.98E-01
2,Lamotrigine,84057-84-1,256.09,2,0.2168,189.2,5.34,249.94384,2.57,-9.7,439,1440,0,0.000801393,1.81E-13,9.40E-06,0.000356404,0.811854214,0.000738745,0.00706524,0.000732574,0.000439,9.66E-08,7.84E-08,1.13E-10,9.52E-08,2.53E-17,1.29E-09,9.29E-11,9.99E-12,,8.12E-01
3,Venlafaxine,99300-78-4,277.4,2,0.1312,216,8.4,665.76,0.43,-8.46,211,1440,0,0.000360815,3.74E-13,4.67E-08,0.000210522,0.997734597,0.000367794,0.0025694,7.78E-05,0.000211,4.64E-08,4.63E-08,5.10E-11,4.64E-08,5.23E-17,6.42E-12,4.63E-11,3.63E-12,,9.98E-01
4,Metoprolol,56392-17-7,267.36,2,0.1832,116.2,9.68,15025.632,1.88,-10.5,231,1440,0,0.0011912,2.32E-16,1.25E-06,0.000221049,0.956922078,0.0011672,0.00120524,0.00140339,0.000231,5.08E-08,4.86E-08,1.68E-10,5.05E-08,3.24E-20,1.72E-10,1.47E-10,1.70E-12,,9.57E-01
5,Diphenhydramine,147-24-0,255.35,2,0.2316,168,8.98,242.83785,1.59,-7.6,36,1440,0,8.40E-05,1.40E-13,1.04E-07,3.52E-05,0.977777778,8.85E-05,0.000212239,3.10E-05,3.60E-05,7.92E-09,7.75E-09,1.19E-11,7.89E-09,1.96E-17,1.43E-11,1.11E-11,3.00E-13,,9.79E-01
6,Propranolol,318-98-9,259.34,2,0.224,164,9.42,625.0094,0.74,-9.51,18.4,1440,0,7.02E-05,3.38E-16,8.11E-09,1.83E-05,0.994565217,7.20E-05,9.47E-05,5.17E-05,1.84E-05,4.05E-09,4.03E-09,9.93E-12,4.04E-09,4.73E-20,1.11E-12,9.06E-12,1.34E-13,,9.95E-01
7,Diclofenac,15307-79-6,296.15,4,0.142,284,4.15,7.018755,0.7,-9.05,2.12,1440,0,6.67E-07,1.08E-18,8.57E-10,2.11E-06,0.995283019,7.02E-07,2.43E-09,4.17E-07,2.12E-06,4.66E-10,4.65E-10,9.43E-14,4.66E-10,1.51E-22,1.18E-13,8.84E-14,3.44E-18,,9.98E-01
8,"2,4-Dichlorophenoxyacetic",94-75-7,221.04,4,0.2264,138,2.9,1644.5376,2.81,-7.08,49.2,1440,0,3.02E-06,9.30E-17,1.57E-06,3.48E-05,0.707317073,3.37E-06,3.58E-08,1.55E-07,4.92E-05,1.08E-08,7.66E-09,4.26E-13,1.06E-08,1.30E-20,2.16E-10,4.24E-13,5.06E-17,,7.09E-01
9,(S)-Naproxen,22204-53-1,230.26,4,0.2412,153,4.15,13.35508,3.18,-9.64,17.7,1440,0,2.77E-06,1.14E-18,8.99E-07,8.72E-06,0.492655367,2.92E-06,3.85E-08,1.72E-06,1.77E-05,3.89E-09,1.92E-09,3.91E-13,3.77E-09,1.60E-22,1.24E-10,3.67E-13,5.45E-17,,4.94E-01
10,Ibuprofen,15687-27-1,206.28,4,0.2632,76,4.45,35.68644,3.97,-6.22,316,1440,0,1.73E-05,2.62E-14,2.30E-05,3.82E-05,0.120886076,1.74E-05,1.74E-06,1.80E-05,0.000316,6.95E-08,8.41E-09,2.45E-12,6.64E-08,3.67E-18,3.16E-09,2.19E-12,2.45E-15,,1.21E-01
11,Torasemide,56211-40-6,348.42,4,0.2488,225.3,6.68,79.78818,3.37,-15.3,184,1440,0,0.000188525,6.26E-21,1.09E-05,6.95E-05,0.377717391,0.000162344,0.000130844,0.000427308,0.000184,4.05E-08,1.53E-08,2.67E-11,3.89E-08,8.76E-25,1.50E-09,2.04E-11,1.85E-13,,3.78E-01
12,Warfarin,81-81-2,308.33,4,0.222,161.5,4.9,29.692179,2.7,-11.6,242,1440,0,0.000110446,1.48E-18,6.49E-06,0.000184061,0.760582645,9.65E-05,2.22E-06,0.000245763,0.000242,5.32E-08,4.05E-08,1.56E-11,5.23E-08,2.07E-22,8.93E-10,1.21E-11,3.14E-15,,7.61E-01
