,Compound,CAS,MW,Compound.type,Salting.out.Constant,Melting.Point_Celsius.degree,pKa,Water.Solubility_mgperL,LogKOW,LogKAW,CNOM_uM,Time,Q_met,C_cells,C_air,C_plastic,C_free_diss,,C_IW,C_lyso,C_mito,C_parent,Q_parent,Q_media_free,Q_cells,Q_media,Q_air,Q_plastic,Q_IW,Q_lyso,,
1,Caffeine,8/2/1958,194.19,1,0.1112,236.1,5,21749.28,-0.07,-9.95,2440,1440,0,0.00223259,6.98E-13,1.77E-07,0.00243831,0.999307377,0.00223259,0.00223259,0.00223259,0.00244,5.37E-07,5.36E-07,3.16E-10,5.36E-07,9.76E-17,2.43E-11,2.81E-10,3.16E-12,,9.99E-01
2,Lamotrigine,84057-84-1,256.09,2,0.2168,189.2,5.34,249.94384,2.57,-9.7,439,1440,0,0.00145676,2.10E-13,1.09E-05,0.000413559,0.942047836,0.00138731,0.00839882,0.00138068,0.000439,9.66E-08,9.10E-08,2.06E-10,9.49E-08,2.93E-17,1.50E-09,1.75E-10,1.19E-11,,9.42E-01
3,Venlafaxine,99300-78-4,277.4,2,0.1312,216,8.4,665.76,0.43,-8.46,211,1440,0,0.000348275,3.74E-13,4.67E-08,0.000210703,0.998592417,0.000355002,0.002479,7.53E-05,0.000211,4.64E-08,4.64E-08,4.92E-11,4.64E-08,5.23E-17,6.42E-12,4.47E-11,3.50E-12,,9.99E-01
4,Metoprolol,56392-17-7,267.36,2,0.1832,116.2,9.68,15025.632,1.88,-10.5,231,1440,0,0.0011844,2.39E-16,1.29E-06,0.000227703,0.985727273,0.00115977,0.0011968,0.0014023,0.000231,5.08E-08,5.01E-08,1.67E-10,5.05E-08,3.34E-20,1.77E-10,1.46E-10,1.69E-12,,9.86E-01
5,Diphenhydramine,147-24-0,255.35,2,0.2316,168,8.98,242.83785,1.59,-7.6,36,1440,0,8.23E-05,1.42E-13,1.06E-07,3.57E-05,0.991666667,8.67E-05,0.000207611,3.07E-05,3.60E-05,7.92E-09,7.86E-09,1.16E-11,7.89E-09,1.99E-17,1.45E-11,1.09E-11,2.94E-13,,9.93E-01
6,Propranolol,318-98-9,259.34,2,0.224,164,9.42,625.0094,0.74,-9.51,18.4,1440,0,6.78E-05,3.39E-16,8.12E-09,1.83E-05,0.994565217,6.96E-05,9.14E-05,5.00E-05,1.84E-05,4.05E-09,4.04E-09,9.59E-12,4.04E-09,4.74E-20,1.12E-12,8.75E-12,1.29E-13,,9.97E-01
7,Diclofenac,15307-79-6,296.15,4,0.142,284,4.15,7.018755,0.7,-9.05,2.12,1440,0,6.44E-07,1.08E-18,8.58E-10,2.12E-06,1,6.78E-07,2.38E-09,4.03E-07,2.12E-06,4.66E-10,4.66E-10,9.10E-14,4.66E-10,1.51E-22,1.18E-13,8.53E-14,3.36E-18,,9.99E-01
8,"2,4-Dichlorophenoxyacetic",94-75-7,221.04,4,0.2264,138,2.9,1644.5376,2.81,-7.08,49.2,1440,0,3.72E-06,1.19E-16,2.01E-06,4.45E-05,0.904471545,4.15E-06,5.15E-08,1.91E-07,4.92E-05,1.08E-08,9.79E-09,5.26E-13,1.05E-08,1.66E-20,2.76E-10,5.23E-13,7.27E-17,,9.05E-01
9,(S)-Naproxen,22204-53-1,230.26,4,0.2412,153,4.15,13.35508,3.18,-9.64,17.7,1440,0,4.34E-06,1.84E-18,1.45E-06,1.41E-05,0.796610169,4.58E-06,1.16E-07,2.68E-06,1.77E-05,3.89E-09,3.10E-09,6.14E-13,3.69E-09,2.57E-22,1.99E-10,5.76E-13,1.64E-16,,7.95E-01
10,Ibuprofen,15687-27-1,206.28,4,0.2632,76,4.45,35.68644,3.97,-6.22,316,1440,0,5.47E-05,7.88E-14,6.91E-05,0.000114754,0.36314557,5.54E-05,1.11E-05,5.25E-05,0.000316,6.95E-08,2.52E-08,7.73E-12,6.00E-08,1.10E-17,9.49E-09,6.97E-12,1.56E-14,,3.63E-01
11,Torasemide,56211-40-6,348.42,4,0.2488,225.3,6.68,79.78818,3.37,-15.3,184,1440,0,0.000602206,1.18E-20,2.05E-05,0.00013039,0.708641304,0.000556018,0.00049935,0.00102357,0.000184,4.05E-08,2.87E-08,8.51E-11,3.76E-08,1.64E-24,2.82E-09,7.00E-11,7.06E-13,,7.09E-01
12,Warfarin,81-81-2,308.33,4,0.222,161.5,4.9,29.692179,2.7,-11.6,242,1440,0,0.000131169,1.80E-18,7.90E-06,0.000223889,0.925161157,0.000114898,4.53E-06,0.000288641,0.000242,5.32E-08,4.93E-08,1.85E-11,5.21E-08,2.52E-22,1.09E-09,1.45E-11,6.41E-15,,9.25E-01
