Chemical,CAS,MW,H37,vb,logkow
Azathioprine,446-86-6,277.26,4.96E-03,145.378,0.1
Benzocaine,1994/9/7,165.19,2.99E-04,146.113,1.86
Butylated hydroxyanisole,25013-16-5,180.24,,,3.42
Cetirizine dihydrochloride,83881-52-1,388.89,1.06E-05,314.245,0.715
Chlorpyrifos,2921-88-2,350.59,2.97E-01,237,4.96
Cyclamate,139-05-9,179.24,1.43E-03,135.301,-0.585
Cyclophosphamide,6055-19-2,261.09,1.06E-01,195.697,0.695
Cypermethrin,67375-30-8,416.3,2.12E-04,313.142,6.62
DEET,134-62-3,191.27,1.46E-02,194.013,2.18
Dexamethasone,1950/2/2,392.46,6.69E-06,296.213,1.92
Digoxin,20830-75-5,780.94,1.34E-05,572.339,1.26
Fenazaquin,120928-09-8,306.4,1.37E-01,277.895,5.51
Fenbuconazole,114369-43-6,336.82,3.94E-01,284.558,3.23
Fluazinam,79622-59-6,465.09,1.61E-06,263.303,4.01
Furosemide,54-31-9,330.74,2.55E-05,205.814,2.03
Glybenclamide,10238-21-8,494,1.93E-05,362.912,4.85
HC Red 3,2871/1/4,197.19,0.0090306,137.024,0.13
Hydralazine hydrochloride,304-20-1,160.18,0.004422997,116.624,0.725
Ibuprofen,15687-27-1,206.28,0.008236005,200.339,3.73
Ketoconazole,65277-42-1,531.43,0.004526021,384.99,4.35
Metformin,1115-70-4,129.16,0.000359515,100.793,-0.87
Metoclopramide,364-62-5,299.8,2.02E-05,257.8,2.62
Nitrofurantoin,67-20-9,238.16,0.001464592,131.072,-0.47
Oxytetracycline hydrochloride,2058-46-0,460.43,1.37E-06,268.172,-1.53
Panthenol,16485-10-2 ,205.25,0.001163367,175.975,-0.895
Paracetamol,103-90-2,151.16,0.000583065,120.946,0.46
Topiramate,97240-79-4,339.36,0.00094562,253.865,-1.39
Trimellitic anhydride,552-30-7,192.13,2.27E-06,115.092,1.46
Verapamil hydrochloride,152-11-4,454.6,0.047393263,429.392,4.48
Warfarin,129-06-6,308.33,3.76E-06,235.758,2.48
