"","Compound","CAS","MW","Compound.type","Salting.out.Constant","Melting.Point_Celsius.degree","pKa","Water.Solubility_mgperL","LogKOW","LogKAW","CNOM_uM","Q_cells","Q_media_free","Q_media","F_free_media"
"1","Azathioprine","446-86-6",277.26,1,0.118,244,5,100.09086,0.1,-15.1,10,4.31413e-47,2.99846e-09,2.99979e-09,0.999487
"2","Benzocaine","1994/9/7",165.19,1,0.1884,92,5,834.2095,1.86,-6.33,10,1.39626e-46,2.88761e-09,2.98959e-09,0.962536
"3","Butylated hydroxyanisole","25013-16-5",180.24,1,0.2508,64.9,5,358.6776,3.42,-4.8,10,1.404e-45,1.05959e-09,2.87552e-09,0.353197
"4","Cetirizine dihydrochloride","83881-52-1",388.89,1,0.1426,249,5,443.3346,0.715,-16.6,10,4.85588e-47,2.99304e-09,2.99916e-09,0.997681
"5","Chlorpyrifos","2921-88-2",350.59,1,0.3124,42,5,1.1499352,4.96,-4.17,10,2.44574e-45,5.05148e-11,2.81505e-09,0.0168383
"6","Cyclamate","139-05-9",179.24,1,0.0906,107,5,874691.2,-0.585,-9.77,10,4.17741e-47,2.99971e-09,2.99995e-09,0.999904
"7","Cyclophosphamide","6055-19-2",261.09,1,0.1418,61.5,5,46212.93,0.695,-10.2,10,4.82362e-47,2.99338e-09,2.9992e-09,0.997792
"8","Cypermethrin","67375-30-8",416.3,1,0.3788,102,5,0.01477865,6.62,-6.45,10,1.43133e-44,5.88119e-12,2.12245e-09,0.0019604
"9","DEET","134-62-3",191.27,1,0.2012,-45,5,916.1833,2.18,-6.57,10,2.39164e-46,2.76326e-09,2.97965e-09,0.921086
"10","Dexamethasone","1950/2/2",392.46,1,0.1908,248,5,78.492,1.92,-18.8,10,1.53651e-46,2.87047e-09,2.98818e-09,0.956824
"11","Digoxin","20830-75-5",780.94,1,0.1644,426,5,59.195252,1.26,-30.7,10,6.65248e-47,2.9736e-09,2.9972e-09,0.991199
"12","Fenazaquin","120928-09-8",306.4,1,0.3344,78.5,5,0.1495232,5.51,-7.24,10,4.999e-45,2.8302e-11,2.64606e-09,0.00943399
"13","Fenbuconazole","114369-43-6",336.82,1,0.2432,125,5,0.3738702,3.23,-10,10,1.19596e-45,1.39865e-09,2.89255e-09,0.466217
"14","Fluazinam","79622-59-6",465.09,1,0.2744,113,5,0.4883445,4.01,-4.7,10,1.76551e-45,3.37846e-10,2.85179e-09,0.112615
"15","Furosemide","54-31-9",330.74,4,0.1952,261,3.62,43.98842,2.03,-16.3,10,5.23307e-48,2.83383e-09,2.98508e-09,0.944611
"16","Glybenclamide","10238-21-8",494,1,0.308,169,5,4.00634,4.85,-18,10,2.10141e-45,5.62016e-11,2.83906e-09,0.0187339
"17","HC Red 3","2871/1/4",197.19,1,0.1192,152,5,121074.66,0.13,-11.8,10,4.32649e-47,2.99834e-09,2.99977e-09,0.999448
"18","Hydralazine hydrochloride","304-20-1",160.18,1,0.143,163,5,211437.6,0.725,-11.6,10,4.87258e-47,2.99287e-09,2.99915e-09,0.997624
"19","Ibuprofen","15687-27-1",206.28,4,0.2632,89.1,4.45,35.68644,3.73,-6.22,10,3.68625e-48,6.12404e-10,2.85627e-09,0.204135
"20","Ketoconazole","65277-42-1",531.43,1,0.288,146,5,83.96594,4.35,-20,10,1.80092e-45,1.55599e-10,2.85415e-09,0.0518664
"21","Metformin","1115-70-4",129.16,1,0.0792,74.3,5,1016489.2,-0.87,-9.13,10,4.16041e-47,2.99986e-09,2.99998e-09,0.999952
"22","Metoclopramide","364-62-5",299.8,1,0.2188,147,5,174.7834,2.62,-12.3,10,5.1813e-46,2.39284e-09,2.95293e-09,0.797613
"23","Nitrofurantoin","67-20-9",238.16,1,0.0952,263,5,96.21664,-0.47,-12.7,10,4.18815e-47,2.99962e-09,2.99994e-09,0.999873
"24","Oxytetracycline hydrochloride","2058-46-0",460.43,1,0.0528,460,5,501868.7,-1.53,-28.9,10,4.14615e-47,2.99997e-09,2.99999e-09,0.99999
"25","Panthenol","16485-10-2 ",205.25,1,0.0782,164,5,1034460,-0.895,-15,10,4.15938e-47,2.99987e-09,2.99998e-09,0.999955
"26","Paracetamol","103-90-2",151.16,1,0.1324,170,5,14224.156,0.46,-10.9,10,4.53781e-47,2.99628e-09,2.99953e-09,0.998759
"27","Topiramate","97240-79-4",339.36,1,0.0584,165,5,264022.08,-1.39,-18,10,4.14766e-47,2.99996e-09,2.99999e-09,0.999987
"28","Trimellitic anhydride","552-30-7",192.13,1,0.1724,162,5,15754.66,1.46,-10.2,10,8.11347e-47,2.95704e-09,2.99564e-09,0.98568
"29","Verapamil hydrochloride","152-11-4",454.6,1,0.2932,200,5,2.29573,4.48,-16.2,10,1.79565e-45,1.14411e-10,2.85662e-09,0.038137
"30","Warfarin","129-06-6",308.33,1,0.2132,175,5,82.94077,2.48,-11.6,10,4.07173e-46,2.54323e-09,2.96341e-09,0.847744
