"","Chemical","CAS","MW","H37","vb","logkow","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","Azathioprine","446-86-6",277.26,0.00496,145.378,0.1,0.000100001053609417,1.81190824753898e-10,4.43718201431633e-05,9.42009315168667e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.941999390174387
"2","Benzocaine","1994/9/7",165.19,0.000299,146.113,1.86,0.000100003074466316,9.81415423241106e-12,6.59587750490107e-05,8.46403074080451e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.846377052503069
"3","Butylated hydroxyanisole","25013-16-5",180.24,NA,NA,3.42,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cetirizine dihydrochloride","83881-52-1",388.89,1.06e-05,314.245,0.715,0.000100001259137696,3.87030280601333e-13,6.34818597997926e-05,9.41541957932549e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.941530102772103
"5","Chlorpyrifos","2921-88-2",350.59,0.297,237,4.96,0.000100101798576272,1.63900725290869e-10,0.00436240285147543,1.42215350224575e-06,9895.61296328595,0.157929371397571,0.0453219335192129,0.0142070724249988
"6","Cyclamate","139-05-9",179.24,0.00143,135.301,-0.585,0.000100001178219959,5.22445681745894e-11,2.85843695928142e-05,9.42119062725661e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.942107962621606
"7","Cyclophosphamide","6055-19-2",261.09,0.106,195.697,0.695,9.99973875341331e-05,3.8702723685433e-09,4.25618736641811e-05,9.41534564000714e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.941559161912436
"8","Cypermethrin","67375-30-8",416.3,0.000212,313.142,6.62,0.00010012494443348,1.21194965183822e-15,0.00626885088696612,1.47302845713151e-08,9895.61296328595,0.157929371397571,0.0453219335192129,0.000147119028676231
"9","DEET","134-62-3",191.27,0.0146,194.013,2.18,0.000100004360091103,4.40373441884543e-10,0.000118741893048963,7.7778394433411e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.777750033724083
"10","Dexamethasone","1950/2/2",392.46,6.69e-06,296.213,1.92,0.000100003338411924,2.16668078226456e-13,0.000169601853876236,8.35148379950361e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.835120500187999
"11","Digoxin","20830-75-5",780.94,1.34e-05,572.339,1.26,0.000100001548332734,4.81312119915108e-13,0.000156731652833724,9.26236295062498e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.926221954064791
"12","Fenazaquin","120928-09-8",306.4,0.137,277.895,5.51,0.000100111603623013,1.70348324797589e-11,0.00415163389765265,3.20415950562603e-07,9895.61296328595,0.157929371397571,0.0453219335192129,0.00320058753398041
"13","Fenbuconazole","114369-43-6",336.82,0.394,284.558,3.23,0.000100018121415729,6.15066869645404e-09,0.00104439677044164,4.0249562119434e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.40242269650452
"14","Fluazinam","79622-59-6",465.09,1.61e-06,263.303,4.01,0.000100062188678403,8.04347377639598e-15,0.00361080128746555,1.28779477290451e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.128699440809101
"15","Furosemide","54-31-9",330.74,2.55e-05,205.814,2.03,0.000100003877541204,8.03610040249283e-13,0.000165979913427761,8.12640545322763e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.812609036072561
"16","Glybenclamide","10238-21-8",494,1.93e-05,362.912,4.85,0.000100099621478478,1.42745554384943e-14,0.00601351012109885,1.90604645126305e-06,9895.61296328595,0.157929371397571,0.0453219335192129,0.0190414950936938
"17","HC Red 3","2871/1/4",197.19,0.0090306,137.024,0.13,0.000100000905367037,3.29887470171128e-10,3.15692662753629e-05,9.41997792287224e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.94198926382694
"18","Hydralazine hydrochloride","304-20-1",160.18,0.004422997,116.624,0.725,0.000100001098903132,1.61490906827557e-10,2.61655954599441e-05,9.41525364951598e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.94151501861357
"19","Ibuprofen","15687-27-1",206.28,0.008236005,200.339,3.73,0.000100046724279066,6.68191732875321e-11,0.00121609958246115,2.09149100349089e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.209051422579013
"20","Ketoconazole","65277-42-1",531.43,0.004526021,384.99,4.35,0.000100080777256468,1.13154098140026e-11,0.00530218462631278,6.44365152864325e-06,9895.61296328595,0.157929371397571,0.0453219335192129,0.0643845072478871
"21","Metformin","1115-70-4",129.16,0.000359515,100.793,-0.87,0.000100001216941442,1.31349437467578e-11,2.05913472080495e-05,9.42132288607861e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.942120823549129
"22","Metoclopramide","364-62-5",299.8,2.02e-05,257.8,2.62,0.000100009399211887,5.05831691326491e-13,0.000363385252392645,6.45702207024457e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.645641521809789
"23","Nitrofurantoin","67-20-9",238.16,0.001464592,131.072,-0.47,0.000100001177230301,5.35079074746946e-11,3.79890961609199e-05,9.42110825083643e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.942099734400105
"24","Oxytetracycline hydrochloride","2058-46-0",460.43,1.37e-06,268.172,-1.53,0.000100001229767222,5.00537587416986e-14,7.33887468078073e-05,9.42142978341515e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.942131392318459
"25","Panthenol","16485-10-2 ",205.25,0.001163367,175.975,-0.895,0.000100001187550747,4.25038399926755e-11,3.27214318841368e-05,9.42132777926688e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.942121589754709
"26","Paracetamol","103-90-2",151.16,0.000583065,120.946,0.46,0.000100001222720651,2.12953830435459e-11,2.43715660423321e-05,9.41822644954389e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.941811129235215
"27","Topiramate","97240-79-4",339.36,0.00094562,253.865,-1.39,0.000100001195291182,3.45487323098577e-11,5.40921499660397e-05,9.42141543482352e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.942130282282169
"28","Trimellitic anhydride","552-30-7",192.13,2.27e-06,115.092,1.46,0.000100001907310482,7.97008524936927e-14,4.74767490071735e-05,9.05390473183384e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.905373204905346
"29","Verapamil hydrochloride","152-11-4",454.6,0.047393263,429.392,4.48,0.000100087267376334,8.86321476719964e-11,0.00488602351329476,4.8198705201661e-06,9895.61296328595,0.157929371397571,0.0453219335192129,0.0481566801303818
"30","Warfarin","129-06-6",308.33,3.76e-06,235.758,2.48,0.000100007547511615,1.00993906272746e-13,0.000300436317679947,6.9261233761721e-05,9895.61296328595,0.157929371397571,0.0453219335192129,0.692560066565742
