"","Chemical","CAS","MW","H37","vb","logkow","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","Azathioprine","446-86-6",277.26,0.00496,145.378,0.1,0.000100001118261034,1.92303866163206e-10,4.7093292803327e-05,9.99785621811431e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999774441723417
"2","Benzocaine","1994/9/7",165.19,0.000299,146.113,1.86,0.000100003611602686,1.15257510406134e-11,7.74620413672997e-05,9.94013629682538e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.993977731156098
"3","Butylated hydroxyanisole","25013-16-5",180.24,NA,NA,3.42,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cetirizine dihydrochloride","83881-52-1",388.89,1.06e-05,314.245,0.715,0.000100001336624212,4.10837949210008e-13,6.73868645529795e-05,9.99459399857122e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999446041019352
"5","Chlorpyrifos","2921-88-2",350.59,0.297,237,4.96,0.000101401721551367,1.51464835139422e-09,0.0403141460081706,1.30738767723014e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.128931507002853
"6","Cyclamate","139-05-9",179.24,0.00143,135.301,-0.585,0.000100001250478617,5.54473351993213e-11,3.03366871937631e-05,9.99873832573849e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999861329521723
"7","Cyclophosphamide","6055-19-2",261.09,0.106,195.697,0.695,9.99972269024365e-05,4.10828969891872e-09,4.51793802920845e-05,9.99437567678217e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999465283825651
"8","Cypermethrin","67375-30-8",416.3,0.000212,313.142,6.62,0.000106111719190553,2.47855757907615e-14,0.128204749639593,2.9699262228305e-07,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.00279886731219307
"9","DEET","134-62-3",191.27,0.0146,194.013,2.18,0.000100005542338957,5.59355836908522e-10,0.000150824197947902,9.87922301483091e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.987867550514994
"10","Dexamethasone","1950/2/2",392.46,6.69e-06,296.213,1.92,0.000100003971352657,2.57666212900393e-13,0.000201694074246694,9.9317252532334e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.993133084506203
"11","Digoxin","20830-75-5",780.94,1.34e-05,572.339,1.26,0.000100001669011692,5.18803199650917e-13,0.000168940027967088,9.98383550578581e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.998366887718498
"12","Fenazaquin","120928-09-8",306.4,0.137,277.895,5.51,0.000102459243642008,2.14598384705551e-10,0.0523008474493104,4.00459310230686e-06,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.0390847419906679
"13","Fenbuconazole","114369-43-6",336.82,0.394,284.558,3.23,0.000100040863197921,1.35487792772008e-08,0.00230061201656515,8.8645698707824e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.886094900365338
"14","Fluazinam","79622-59-6",465.09,1.61e-06,263.303,4.01,0.000100311884901989,3.57511477036389e-14,0.016049079906026,5.71605885982333e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.56982867637352
"15","Furosemide","54-31-9",330.74,2.55e-05,205.814,2.03,0.000100004732161294,9.80299269989776e-13,0.000202473812117449,9.91310595925476e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.991263687728927
"16","Glybenclamide","10238-21-8",494,1.93e-05,362.912,4.85,0.000101228521812306,1.2228477496018e-13,0.0515155719038626,1.62516653903439e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.160544331769232
"17","HC Red 3","2871/1/4",197.19,0.0090306,137.024,0.13,0.000100000960929204,3.50121612349442e-10,3.35056145203666e-05,9.997763515484e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999766744497779
"18","Hydralazine hydrochloride","304-20-1",160.18,0.004422997,116.624,0.725,0.000100001166540053,1.7142583471338e-10,2.77753040800124e-05,9.99447750117957e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999436091295648
"19","Ibuprofen","15687-27-1",206.28,0.008236005,200.339,3.73,0.000100171102277485,2.28951389587393e-10,0.00416688427141881,7.1611137187243e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.714888181911705
"20","Ketoconazole","65277-42-1",531.43,0.004526021,384.99,4.35,0.000100590092246555,6.69424159976308e-11,0.0313679632561578,3.80249336439166e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.378018677532515
"21","Metformin","1115-70-4",129.16,0.000359515,100.793,-0.87,0.000100001291570663,1.39401270905026e-11,2.1853614491716e-05,9.99885523648036e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999872609586742
"22","Metoclopramide","364-62-5",299.8,2.02e-05,257.8,2.62,0.000100014136493578,7.5871435806109e-13,0.000545054049355696,9.68482984730582e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.968346094547112
"23","Nitrofurantoin","67-20-9",238.16,0.001464592,131.072,-0.47,0.00010000124943015,5.6788218641071e-11,4.03180240199702e-05,9.99866801404856e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999854308923663
"24","Oxytetracycline hydrochloride","2058-46-0",460.43,1.37e-06,268.172,-1.53,0.000100001305180902,5.31220201760676e-14,7.78874269503423e-05,9.99895419309759e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999882369036033
"25","Panthenol","16485-10-2 ",205.25,0.001163367,175.975,-0.895,0.000100001260378194,4.51093554603297e-11,3.47272788058979e-05,9.99885899689462e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999873297504455
"26","Paracetamol","103-90-2",151.16,0.000583065,120.946,0.46,0.000100001297826213,2.26029163414476e-11,2.58679765154273e-05,9.99650122455687e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999637148902737
"27","Topiramate","97240-79-4",339.36,0.00094562,253.865,-1.39,0.000100001268591648,3.666654959336e-11,5.7407967352054e-05,9.99893990417526e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.999881306006791
"28","Trimellitic anhydride","552-30-7",192.13,2.27e-06,115.092,1.46,0.000100002101525451,8.78095213740097e-14,5.23069763774781e-05,9.97502902330988e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.997481939994153
"29","Verapamil hydrochloride","152-11-4",454.6,0.047393263,429.392,4.48,0.000100729324936124,5.77118997193961e-10,0.0318148664707734,3.12887466445658e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.310622022577906
"30","Warfarin","129-06-6",308.33,3.76e-06,235.758,2.48,0.0001000106625902,1.42427388531144e-13,0.000423692498381942,9.76743302264354e-05,9895.61296328595,0.00327207859757146,8.46753752129048e-05,0.976639167232215
