"","Chemical","CAS","MW","H37","vb","logkow","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","Azathioprine","446-86-6",277.26,0.00496,145.378,0.1,0.00010000105101018,1.80744009018734e-10,4.42623994398278e-05,9.39686335377036e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939676459281792
"2","Benzocaine","1994/9/7",165.19,0.000299,146.113,1.86,0.000100003055029819,9.75220234178241e-12,6.55424099959453e-05,8.41060238554675e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.841034544698543
"3","Butylated hydroxyanisole","25013-16-5",180.24,NA,NA,3.42,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cetirizine dihydrochloride","83881-52-1",388.89,1.06e-05,314.245,0.715,0.000100001256022744,3.86073228382246e-13,6.33248812427853e-05,9.39213715113505e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939201918523798
"5","Chlorpyrifos","2921-88-2",350.59,0.297,237,4.96,0.000100097847333949,1.5788076868508e-10,0.00420217487454747,1.36995129171878e-06,9895.61296328595,0.164545288197571,0.0472570891832129,0.0136861214122649
"6","Cyclamate","139-05-9",179.24,0.00143,135.301,-0.585,0.000100001175314595,5.21157925551536e-11,2.85139130835626e-05,9.39796880560864e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939785835120778
"7","Cyclophosphamide","6055-19-2",261.09,0.106,195.697,0.695,9.99973939914535e-05,3.8607040931518e-09,4.24566501318832e-05,9.39206867713305e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939231344162406
"8","Cypermethrin","67375-30-8",416.3,0.000212,313.142,6.62,0.000100119737235631,1.16464723022265e-15,0.00602417743795104,1.41557934154787e-08,9895.61296328595,0.164545288197571,0.0472570891832129,0.000141388639306585
"9","DEET","134-62-3",191.27,0.0146,194.013,2.18,0.000100004320664699,4.36402428894033e-10,0.000117671152717313,7.70770565781447e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.770737264808527
"10","Dexamethasone","1950/2/2",392.46,6.69e-06,296.213,1.92,0.000100003315805507,2.15203288942431e-13,0.000168455256822544,8.29502442674747e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.829474938899045
"11","Digoxin","20830-75-5",780.94,1.34e-05,572.339,1.26,0.000100001543558535,4.79828812200666e-13,0.000156248637216717,9.23381839032352e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.923367586313163
"12","Fenazaquin","120928-09-8",306.4,0.137,277.895,5.51,0.00010010711887045,1.63899039795763e-11,0.00399445550110772,3.08293403801585e-07,9895.61296328595,0.164545288197571,0.0472570891832129,0.00307963516761031
"13","Fenbuconazole","114369-43-6",336.82,0.394,284.558,3.23,0.000100017699841254,6.01027970113875e-09,0.00102055841579651,3.93310057882522e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.393240454946249
"14","Fluazinam","79622-59-6",465.09,1.61e-06,263.303,4.01,0.000100060121456453,7.78538173591955e-15,0.00349494099765023,1.24648912073128e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.124574016360131
"15","Furosemide","54-31-9",330.74,2.55e-05,205.814,2.03,0.000100003847814407,7.97461377393983e-13,0.000164709951024482,8.06422920700928e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.806391892237522
"16","Glybenclamide","10238-21-8",494,1.93e-05,362.912,4.85,0.000100095794644596,1.3755058259377e-14,0.00579465901723912,1.83672145824342e-06,9895.61296328595,0.164545288197571,0.0472570891832129,0.0183496366132558
"17","HC Red 3","2871/1/4",197.19,0.0090306,137.024,0.13,0.000100000903133054,3.29073930029581e-10,3.14914128624927e-05,9.39674729076667e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.93966624264023
"18","Hydralazine hydrochloride","304-20-1",160.18,0.004422997,116.624,0.725,0.00010000109618444,1.61091531907574e-10,2.61008866609871e-05,9.39196937873173e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939186642655333
"19","Ibuprofen","15687-27-1",206.28,0.008236005,200.339,3.73,0.000100045312794609,6.48545820389737e-11,0.00118034429348433,2.03001582075842e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.202909638048311
"20","Ketoconazole","65277-42-1",531.43,0.004526021,384.99,4.35,0.000100077877667131,1.09270590293254e-11,0.00512021084357021,6.22261225569583e-06,9895.61296328595,0.164545288197571,0.0472570891832129,0.062177700014711
"21","Metformin","1115-70-4",129.16,0.000359515,100.793,-0.87,0.000100001213940821,1.3102569166884e-11,2.05405943288208e-05,9.39810162488259e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939798753887552
"22","Metoclopramide","364-62-5",299.8,2.02e-05,257.8,2.62,0.000100009266373172,4.98720901423429e-13,0.000358276920340249,6.36625687567182e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.636566700921189
"23","Nitrofurantoin","67-20-9",238.16,0.001464592,131.072,-0.47,0.000100001174327378,5.33760142252569e-11,3.78954556959007e-05,9.39788598544871e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939777562479663
"24","Oxytetracycline hydrochloride","2058-46-0",460.43,1.37e-06,268.172,-1.53,0.00010000122673502,4.99303907840102e-14,7.32078648996055e-05,9.39820880648165e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939809351677728
"25","Panthenol","16485-10-2 ",205.25,0.001163367,175.975,-0.895,0.000100001184622696,4.23990781619611e-11,3.26407813570885e-05,9.39810656016771e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939799522938325
"26","Paracetamol","103-90-2",151.16,0.000583065,120.946,0.46,0.000100001219700897,2.12428152216254e-11,2.431140463812e-05,9.39497759260845e-05,9895.61296328595,0.164545288197571,0.0472570891832129,0.939486300338016
