Chemical,CAS,MW,H37,vb,logkow,CNOM_M
Eugenol F,97-53-0,164.2,2.22E-02,156,2.27,1.83E-03
Methyl-antranilate,134-20-3,151.16,1.11E-03,130,1.88,5.29E-03
Lilyfore,285977-85-7,176.25,7.17E-02,172,3.24,0.000681
Damascone beta,23726-91-2,192.3,3.28E+01,212,4.29,0.000104
Veloutone,14595-54-1,222.37,1.84E+01,256,5.28,6.11E-05
Cetalox,3738-00-9,236.39,1.40E+02,252,5.4,0.0000212
Tonalide,21145-77-7,258.4,4.8534675,281,5.7,0.00000774
Eugenol F,97-53-0,164.2,0.022190175,156,2.27,6.09E-06
Methyl-antranilate,134-20-3,151.16,0.001114575,130,1.88,0.000165344
Lilyfore,285977-85-7,176.25,0.0717381,172,3.24,1.13E-05
Damascone beta,23726-91-2,192.3,32.8293,212,4.29,5.20E-06
Veloutone,14595-54-1,222.37,18.44115,256,5.28,5.09E-07
Cetalox,3738-00-9,236.39,139.8285,252,5.4,1.06E-06
Tonalide,21145-77-7,258.4,4.8534675,281,5.7,3.87E-08
