Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
Eugenol F,97-53-0,164.2,1,0.2048,60.6,5,840.704,2.27,-4.85,1830
Methyl-antranilate,134-20-3,151.16,1,0.1892,55.8,5,2872.04,1.88,-6.32,5290
Lilyfore,285977-85-7,176.25,1,0.2436,71.3,5,222.075,3.24,-5.78,681
Damascone beta,23726-91-2,192.3,1,0.2856,52.5,5,7.98045,4.29,-2.6,104
Veloutone,14595-54-1,222.37,1,0.3252,25,5,0.9384014,5.28,-3.52,61.1
Verdox,82356-51-2,236.39,1,0.372,25,5,0.15223516,6.45,-1.88,75.6
Nirvanol,1506-02-1,258.4,1,0.342,25,5,1.250656,5.7,-3.69,27
Cetalox,3738-00-9,236.39,1,0.33,74.1,5,2.434817,5.4,-1.56,21.2
Tonalide,21145-77-7,258.4,1,0.342,106.9,5,1.250656,5.7,-3.69,7.74
Eugenol F,97-53-0,164.2,1,0.2048,60.6,5,840.704,2.27,-4.85,6.090133983
Methyl-antranilate,134-20-3,151.16,1,0.1892,55.8,5,2872.04,1.88,-6.32,165.3439153
Lilyfore,285977-85-7,176.25,1,0.2436,71.3,5,222.075,3.24,-5.78,11.34429949
Damascone beta,23726-91-2,192.3,1,0.2856,52.5,5,7.98045,4.29,-2.6,5.200208008
Veloutone,14595-54-1,222.37,1,0.3252,25,5,0.9384014,5.28,-3.52,0.50942435
Verdox,82356-51-2,236.39,1,0.372,25,5,0.15223516,6.45,-1.88,5.042864347
Nirvanol,1506-02-1,258.4,1,0.342,25,5,1.250656,5.7,-3.69,0.449640288
Cetalox,3738-00-9,236.39,1,0.33,74.1,5,2.434817,5.4,-1.56,1.057529611
Tonalide,21145-77-7,258.4,1,0.342,106.9,5,1.250656,5.7,-3.69,0.03869969
