,Chemical,CAS,MW,Compound.type,Salting.out.Constant,Melting.Point_Celsius.degree,pKa,Water.Solubility_mgperL,LogKOW,LogKAW,CNOM_uM,Time,Q_met,C_cells,C_air,C_plastic,C_free_diss,,C_IW,C_lyso,C_mito,C_parent,Q_parent,Q_media_free,Q_cells,Q_media,Q_air,Q_plastic,Q_IW,Q_lyso,,
1,Eugenol F,97-53-0,164.2,1,0.2048,60.6,5,840.704,2.27,-4.85,1830,1440,0,0.00693694,1.56E-08,3.90E-05,0.00181705,0.992923497,0.00693694,0.00693694,0.00693694,0.00183,3.66E-06,3.63E-06,5.88E-09,3.63E-06,2.18E-11,2.00E-08,5.24E-09,5.88E-11,,9.93E-01
2,Methyl-antranilate,134-20-3,151.16,1,0.1892,55.8,5,2872.04,1.88,-6.32,5290,1440,0,0.0108287,1.54E-09,4.74E-05,0.00527326,0.996835539,0.0108287,0.0108287,0.0108287,0.00529,1.06E-05,1.05E-05,9.19E-09,1.05E-05,2.15E-12,2.43E-08,8.17E-09,9.19E-11,,9.97E-01
3,Lilyfore,285977-85-7,176.25,1,0.2436,71.3,5,222.075,3.24,-5.78,681,1440,0,0.0193918,6.48E-10,0.000120253,0.000641941,0.94264464,0.0193918,0.0193918,0.0193918,0.000681,1.36E-06,1.28E-06,1.64E-08,1.28E-06,9.07E-13,6.17E-08,1.46E-08,1.64E-10,,9.43E-01
4,Damascone beta,23726-91-2,192.3,1,0.2856,52.5,5,7.98045,4.29,-2.6,104,1440,0,0.0227095,9.60E-08,0.000122793,6.28E-05,0.603846154,0.0227095,0.0227095,0.0227095,0.000104,2.08E-07,1.26E-07,1.93E-08,1.26E-07,1.34E-10,6.30E-08,1.71E-08,1.93E-10,,6.04E-01
5,Veloutone,14595-54-1,222.37,1,0.3252,25,5,0.9384014,5.28,-3.52,61.1,1440,0,0.0330131,1.55E-09,0.00015073,8.45E-06,0.138297872,0.0330131,0.0330131,0.0330131,6.11E-05,1.22E-07,1.69E-08,2.80E-08,1.69E-08,2.17E-12,7.73E-08,2.49E-08,2.80E-10,,1.38E-01
6,Verdox,82356-51-2,236.39,1,0.372,25,5,0.15223516,6.45,-1.88,75.6,1440,0,0.0549808,6.61E-09,0.000200666,8.24E-07,0.010899471,0.0549808,0.0549808,0.0549808,7.56E-05,1.51E-07,1.65E-09,4.66E-08,1.65E-09,9.25E-12,1.03E-07,4.15E-08,4.66E-10,,1.09E-02
7,Nirvanol,1506-02-1,258.4,1,0.342,25,5,1.250656,5.7,-3.69,27,1440,0,0.0168736,1.94E-10,7.13E-05,1.56E-06,0.057777778,0.0168736,0.0168736,0.0168736,2.70E-05,5.40E-08,3.13E-09,1.43E-08,3.13E-09,2.72E-13,3.66E-08,1.27E-08,1.43E-10,,5.79E-02
8,Cetalox,3738-00-9,236.39,1,0.33,74.1,5,2.434817,5.4,-1.56,21.2,1440,0,0.0120229,3.86E-08,5.37E-05,2.30E-06,0.108490566,0.0120229,0.0120229,0.0120229,2.12E-05,4.24E-08,4.61E-09,1.02E-08,4.61E-09,5.40E-11,2.75E-08,9.08E-09,1.02E-10,,1.09E-01
9,Tonalide,21145-77-7,258.4,1,0.342,106.9,5,1.250656,5.7,-3.69,7.74,1440,0,0.0048371,5.57E-11,2.04E-05,4.48E-07,0.057881137,0.0048371,0.0048371,0.0048371,7.74E-06,1.55E-08,8.97E-10,4.10E-09,8.97E-10,7.79E-14,1.05E-08,3.65E-09,4.10E-11,,5.79E-02
10,Eugenol F,97-53-0,164.2,1,0.2048,60.6,5,840.704,2.27,-4.85,6.090133983,1440,0,2.31E-05,5.20E-11,1.30E-07,6.05E-06,0.99341,2.31E-05,2.31E-05,2.31E-05,6.09E-06,1.22E-08,1.21E-08,1.96E-11,1.21E-08,7.27E-14,6.66E-11,1.74E-11,1.96E-13,,9.93E-01
