"","Chemical","CAS","MW","H37","vb","logkow","CNOM_M","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","Eugenol F","97-53-0",164.2,0.0222,156,2.27,0.00183,0.00182987626197007,1.66169691992271e-08,0.00102699601686275,0.00181817366662049,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.993604706726467
"2","Methyl-antranilate","134-20-3",151.16,0.00111,130,1.88,0.00529,0.00528980328288027,2.41077551558171e-09,0.00164478017969032,0.00527558312771987,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.997311779966105
"3","Lilyfore","285977-85-7",176.25,0.0717,172,3.24,0.000681,0.000680679957895496,1.90218174014873e-08,0.00301561670056605,0.000644416779181132,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.946725067641948
"4","Damascone beta","23726-91-2",192.3,32.8,212,4.29,0.000104,0.000102862188312262,8.72765075527049e-07,0.00564060510591921,6.46288967135113e-05,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.628305675524961
"5","Veloutone","14595-54-1",222.37,18.4,256,5.28,6.11e-05,5.97753448532643e-05,6.98954598574413e-08,0.0156852901286344,9.22419246974506e-06,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.154314332981072
"6","Cetalox","3738-00-9",236.39,140,252,5.4,2.12e-05,2.0606452686791e-05,1.45188849195785e-07,0.00642294906138342,2.51817570084644e-06,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.12220326026617
"7","Tonalide","21145-77-7",258.4,4.8534675,281,5.7,7.74e-06,7.50943357328849e-06,9.91459368982138e-10,0.00327152242815588,4.95975323936072e-07,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.0660469686688868
"8","Eugenol F","97-53-0",164.2,0.022190175,156,2.27,6.09e-06,6.08958823322211e-06,5.52746207905004e-11,3.41770806574661e-06,6.0506435305556e-06,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.993604706726467
"9","Methyl-antranilate","134-20-3",151.16,0.001114575,130,1.88,0.000165344,0.00016533785120126,7.56616587243306e-11,5.14091746074057e-05,0.0001648933866773,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.997311779966105
"10","Lilyfore","285977-85-7",176.25,0.0717381,172,3.24,1.13e-05,1.12946893464434e-05,3.15801399225161e-10,5.00388669091228e-05,1.06929655355064e-05,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.946725067641948
"11","Damascone beta","23726-91-2",192.3,32.8293,212,4.29,5.2e-06,5.14308242788557e-06,4.36770063191357e-08,0.000282028775382729,3.2314278791332e-06,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.628305675524961
"12","Veloutone","14595-54-1",222.37,18.44115,256,5.28,5.09e-07,4.97963928578231e-07,5.83572661209022e-10,0.000130667731194488,7.68429714871842e-08,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.154314332981072
"13","Cetalox","3738-00-9",236.39,139.8285,252,5.4,1.06e-06,1.03032868624947e-06,7.25059223105664e-09,0.000321149339425336,1.25909524605445e-07,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.12220326026617
"14","Tonalide","21145-77-7",258.4,4.8534675,281,5.7,3.87e-08,3.75471678651864e-08,4.95729684474485e-12,1.63576121402322e-05,2.4798766195974e-09,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.0660469686688868
