Chemical,CAS,MW,H37,vb,logkow,CNOM_M
di-n-butylphthalate,84-74-2,278.34,1.83E-01,264,4.61,8.36E-07
hexachlorophene,70-30-4,406.9,3.68E-06,237,7.54,4.92E-08
Caffeine,8/2/1958,194.19,1.57E-01,133,-0.07,0.014037075
hexamethylenetetramine,100-97-0,140.19,1.53E-02,98.2,-1.27,0.098787447
Malathion,121-75-5,330.36,4.95E-04,260,2.36,3.93E-05
pentachlorophenol,87-86-5,266.34,2.48E-03,148,5.12,7.51E-08
"2,4-dinitrophenol",51-28-5,184.11,8.71E-03,112,1.67,4.13E-06
"2,2,2-trichloroethanol",115-20-8,149.4,5.97E-01,93.3,1.42,0.000712851
parathion ethyl,56-38-2,291.26,3.02E-02,220,3.83,2.88E-06
diethylphthalate,84-66-2,222.24,2.37E-03,198,2.44,0.000310531
4-chlorophenol,106-48-9,128.56,6.39E-02,99.8,2.39,9.33E-05
permethrin,52645-53-1,391.29,2.43E-03,303,6.5,2.30E-05
Aniline,62-53-3,93.13,2.05E-01,91.7,0.9,0.004749731
disulfoton,298-04-4,274.4,4.85E-01,233,4.02,9.11E-06
4-fluoroaniline,371-40-4,111.12,6.11E-02,95.9,1.15,0.001913591
"2,4,6-trichlorophenol",6/2/1988,197.45,1.37E-01,124,3.69,1.01E-05
Allyl alcohol,107-18-6,58.08,5.06E-01,70.7,0.17,0.014359725
lindane,58-89-9,290.83,3.22E-01,183,3.72,3.34E-05
N-methylaniline,100-61-8,107.15,9.00E-01,109,1.66,0.001509328
"3,4-dichloroaniline",95-76-1,162.02,1.76E-02,116,2.69,4.78E-05
4-decylaniline,37529-30-9,233.39,2.07E+00,257,6.32,2.40E-06
naphthalene,91-20-3,128.17,4.46E+01,124,3.3,0.000219189
"1,2,4-trichlorobenzene",120-82-1,181.45,1.44E+02,125,3.99,7.82E-05
"1,2-dichlorobenzene",95-50-1,147,1.95E+02,113,3.43,0.000182993
dichloromethane,9/2/1975,84.93,3.29E+02,67.8,1.25,0.017656066
tetrachloroethylene,127-18-4,165.83,1.79E+03,100,3.4,0.000195416
"2,3-dimethyl-1,3-butadiene",513-81-5,82.14,4.53E+03,117,3.07,0.001
