Compound,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
di-n-butylphthalate,84-74-2,278.34,1,0.2984,-35,7,11.189268,4.61,-5.26,0.835586139
hexachlorophene,70-30-4,406.9,4,0.4156,166.5,6.2,140.7874,7.54,-9.21,0.049152126
Caffeine,1958/8/2,194.19,2,0.1112,238,6.4,21749.28,-0.07,-9.95,14037.07518
hexamethylenetetramine,100-97-0,140.19,1,0.0632,65.1,7,999554.7,-1.27,-3.42,98787.4465
Malathion,121-75-5,330.36,1,0.2084,2.8,7,144.69768,2.36,-9.87,39.34624697
pentachlorophenol,87-86-5,266.34,4,0.3188,174,5,40.48368,5.12,-5.02,0.075103267
"2,4-dinitrophenol",51-28-5,184.11,4,0.1808,118.5,4.1,1340.3208,1.67,-6.32,4.1281912
"2,2,2-trichloroethanol",115-20-8,149.4,1,0.1708,19,7,83215.8,1.42,-3.34,712.8514056
parathion ethyl,56-38-2,291.26,1,0.2672,6.1,7,12.728062,3.83,-5.78,2.883625129
diethylphthalate,84-66-2,222.24,1,0.2116,-40.5,7,1037.8608,2.44,-5.26,310.5310531
4-chlorophenol,106-48-9,128.56,1,0.2096,42.7,7,24554.96,2.39,-4.8,93.3125972
permethrin,52645-53-1,391.29,1,0.374,34,7,0.08373606,6.5,-6.61,23.00025556
Aniline,62-53-3,93.13,1,0.15,-6,7,36041.31,0.9,-4.27,4749.731472
disulfoton,298-04-4,274.4,1,0.2748,-25,7,18.05552,4.02,-5.26,9.110787172
4-fluoroaniline,371-40-4,111.12,1,0.16,-0.8,7,14778.96,1.15,-3.98,1913.591359
"2,4,6-trichlorophenol",1988/6/2,197.45,4,0.2616,69,6.8,833.239,3.69,-3.46,10.12658228
Allyl alcohol,107-18-6,58.08,1,0.1208,-129,7,998976,0.17,-3.52,14359.72461
lindane,58-89-9,290.83,1,0.2628,112.5,7,4.449699,3.72,-3.77,33.3562586
N-methylaniline,100-61-8,107.15,1,0.1804,-57,7,5625.375,1.66,-3.41,1509.328358
"3,4-dichloroaniline",95-76-1,162.02,1,0.2216,46.2,7,145.65598,2.69,-4.68,47.83950617
4-decylaniline,37529-30-9,233.39,1,0.3668,103.5,7,0.20374947,6.32,-3.09,2.399314482
naphthalene,91-20-3,128.17,1,0.246,80.2,7,31.65799,3.3,-2.41,219.1887676
"1,2,4-trichlorobenzene",120-82-1,181.45,1,0.2736,17,7,46.4512,3.99,-0.83,78.2369146
"1,2-dichlorobenzene",95-50-1,147,1,0.2512,-16.7,7,143.325,3.43,-0.98,182.9931973
dichloromethane,1975/9/2,84.93,1,0.164,-95.1,7,15117.54,1.25,-1.19,17656.06596
tetrachloroethylene,127-18-4,165.83,1,0.25,-22.3,7,276.9361,3.4,-0.52,195.4161641
"2,3-dimethyl-1,3-butadiene",513-81-5,82.14,1,0.2368,-76,7,326.9172,3.07,0.95,1000
