,Compound,CAS,MW,Compound.type,Salting.out.Constant,Melting.Point_Celsius.degree,pKa,Water.Solubility_mgperL,LogKOW,LogKAW,CNOM_uM,Time,Q_met,C_cells,C_air,C_plastic,C_free_diss,,C_IW,C_lyso,C_mito,C_parent,Q_parent,Q_media_free,Q_cells,Q_media,Q_air,Q_plastic,Q_IW,Q_lyso,,N,
1,di-n-butylphthalate,84-74-2,278.34,1,0.2984,-35,7,11.189268,4.61,-5.26,0.835586139,1440,0,0.000228261,9.80E-13,1.17E-06,2.93E-07,3.51E-01,0.000228261,0.000228261,0.000228261,8.36E-07,1.67E-09,5.86E-10,4.84E-10,5.86E-10,1.37E-15,6.01E-10,4.31E-10,4.84E-12,,A,6.20
2,hexachlorophene,70-30-4,406.9,4,0.4156,166.5,6.2,140.7874,7.54,-9.21,0.049152126,1440,0,5.21E-06,5.62E-22,1.70E-07,6.12E-11,1.24E-03,5.28E-06,5.30E-06,4.59E-06,4.92E-08,9.83E-11,1.22E-13,1.11E-11,1.22E-13,7.86E-25,8.71E-11,9.97E-12,1.12E-13,,B,6.40
3,Caffeine,1958/8/2,194.19,2,0.1112,238,6.4,21749.28,-0.07,-9.95,14037.07518,1440,0,0.0240495,9.20E-13,1.62E-06,0.0140112,9.98E-01,0.0136398,1.07831,0.011269,0.0140371,2.81E-05,2.80E-05,5.10E-08,2.80E-05,1.29E-15,8.29E-10,2.57E-08,2.29E-08,,N,
4,hexamethylenetetramine,100-97-0,140.19,1,0.0632,65.1,7,999554.7,-1.27,-3.42,98787.4465,1440,0,0.0878942,2.28E-05,7.80E-07,0.0986781,9.99E-01,0.0878942,0.0878942,0.0878942,0.0987874,0.000197575,0.000197356,1.86E-07,0.000197356,3.19E-08,4.00E-10,1.66E-07,1.86E-09,,N,
5,Malathion,121-75-5,330.36,1,0.2084,2.8,7,144.69768,2.36,-9.87,39.34624697,1440,0,0.000175568,3.19E-15,1.02E-06,3.89E-05,9.89E-01,0.000175568,0.000175568,0.000175568,3.93E-05,7.87E-08,7.78E-08,3.72E-10,7.78E-08,4.46E-18,5.23E-10,3.31E-10,3.72E-12,,A,5.00
6,pentachlorophenol,87-86-5,266.34,4,0.3188,174,5,40.48368,5.12,-5.02,0.075103267,1440,0,2.54E-07,1.64E-16,2.22E-07,1.78E-08,2.37E-01,2.71E-07,2.78E-07,1.03E-07,7.51E-08,1.50E-10,3.56E-11,5.39E-13,3.56E-11,2.29E-19,1.14E-10,5.11E-13,5.90E-15,,A,4.10
7,"2,4-dinitrophenol",51-28-5,184.11,4,0.1808,118.5,4.1,1340.3208,1.67,-6.32,4.1281912,1440,0,1.12E-06,2.39E-16,2.32E-08,4.12E-06,9.98E-01,1.19E-06,5.72E-09,5.97E-07,4.13E-06,8.26E-09,8.24E-09,2.37E-12,8.24E-09,3.35E-19,1.19E-11,2.24E-12,1.21E-16,,N,
8,"2,2,2-trichloroethanol",115-20-8,149.4,1,0.1708,19,7,83215.8,1.42,-3.34,712.8514056,1440,0,0.000912251,1.98E-07,2.29E-06,0.00071116,9.98E-01,0.000912251,0.000912251,0.000912251,0.000712851,1.43E-06,1.42E-06,1.93E-09,1.42E-06,2.76E-10,1.17E-09,1.72E-09,1.93E-11,,N,
9,parathion ethyl,56-38-2,291.26,1,0.2672,6.1,7,12.728062,3.83,-5.78,2.883625129,1440,0,0.000266312,2.23E-12,1.54E-06,2.21E-06,7.65E-01,0.000266312,0.000266312,0.000266312,2.88E-06,5.77E-09,4.41E-09,5.65E-10,4.41E-09,3.11E-15,7.91E-10,5.03E-10,5.65E-12,,N,
10,diethylphthalate,84-66-2,222.24,1,0.2116,-40.5,7,1037.8608,2.44,-5.26,310.5310531,1440,0,0.00161452,1.02E-09,9.61E-06,0.000306354,9.87E-01,0.00161452,0.00161452,0.00161452,0.000310531,6.21E-07,6.13E-07,3.42E-09,6.13E-07,1.43E-12,4.93E-09,3.05E-09,3.42E-11,,N,
11,4-chlorophenol,106-48-9,128.56,1,0.2096,42.7,7,24554.96,2.39,-4.8,93.3125972,1440,0,0.000440676,8.89E-10,2.59E-06,9.22E-05,9.88E-01,0.000440676,0.000440676,0.000440676,9.33E-05,1.87E-07,1.84E-07,9.34E-10,1.84E-07,1.24E-12,1.33E-09,8.32E-10,9.34E-12,,N,
12,permethrin,52645-53-1,391.29,1,0.374,34,7,0.08373606,6.5,-6.61,23.00025556,1440,0,0.0115002,2.28E-14,4.16E-05,1.53E-07,6.64E-03,0.0115002,0.0115002,0.0115002,2.30E-05,4.60E-08,3.05E-10,2.44E-08,3.05E-10,3.19E-17,2.13E-08,2.17E-08,2.44E-10,,N,
13,Aniline,62-53-3,93.13,1,0.15,-6,7,36041.31,0.9,-4.27,4749.731472,1440,0,0.00476903,1.55E-07,4.77E-06,0.00474334,9.99E-01,0.00476903,0.00476903,0.00476903,0.00474973,9.50E-06,9.49E-06,1.01E-08,9.49E-06,2.17E-10,2.45E-09,9.00E-09,1.01E-10,,N,
14,disulfoton,298-04-4,274.4,1,0.2748,-25,7,18.05552,4.02,-5.26,9.110787172,1440,0,0.00117157,2.06E-11,6.60E-06,6.18E-06,6.78E-01,0.00117157,0.00117157,0.00117157,9.11E-06,1.82E-08,1.24E-08,2.48E-09,1.24E-08,2.89E-14,3.39E-09,2.21E-09,2.48E-11,,N,
15,4-fluoroaniline,371-40-4,111.12,1,0.16,-0.8,7,14778.96,1.15,-3.98,1913.591359,1440,0,0.00209741,1.22E-07,3.36E-06,0.00191042,9.98E-01,0.00209741,0.00209741,0.00209741,0.00191359,3.83E-06,3.82E-06,4.45E-09,3.82E-06,1.70E-10,1.72E-09,3.96E-09,4.45E-11,,A,6.80
16,"2,4,6-trichlorophenol",1988/6/2,197.45,4,0.2616,69,6.8,833.239,3.69,-3.46,10.12658228,1440,0,0.000221034,1.68E-10,4.48E-06,8.74E-06,8.64E-01,0.000218833,0.000215539,0.000241175,1.01E-05,2.03E-08,1.75E-08,4.69E-10,1.75E-08,2.34E-13,2.30E-09,4.13E-10,4.57E-12,,N,
17,Allyl alcohol,107-18-6,58.08,1,0.1208,-129,7,998976,0.17,-3.52,14359.72461,1440,0,0.0130636,2.63E-06,2.83E-06,0.0143433,9.99E-01,0.0130636,0.0130636,0.0130636,0.0143597,2.87E-05,2.87E-05,2.77E-08,2.87E-05,3.68E-09,1.45E-09,2.47E-08,2.77E-10,,N,
18,lindane,58-89-9,290.83,1,0.2628,112.5,7,4.449699,3.72,-3.77,33.3562586,1440,0,0.00250459,2.78E-09,1.47E-05,2.69E-05,8.07E-01,0.00250459,0.00250459,0.00250459,3.34E-05,6.67E-08,5.38E-08,5.31E-09,5.38E-08,3.89E-12,7.56E-09,4.73E-09,5.31E-11,,N,
19,N-methylaniline,100-61-8,107.15,1,0.1804,-57,7,5625.375,1.66,-3.41,1509.328358,1440,0,0.00237992,3.56E-07,8.27E-06,0.00150444,9.97E-01,0.00237992,0.00237992,0.00237992,0.00150933,3.02E-06,3.01E-06,5.05E-09,3.01E-06,4.98E-10,4.24E-09,4.49E-09,5.05E-11,,N,
