"","Chemical","CAS","MW","H37","vb","logkow","CNOM_M","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","di-n-butylphthalate","84-74-2",278.34,0.183,264,4.61,8.36e-07,8.28432991200153e-07,2.82003947999103e-11,0.000116751209165239,3.74266623540861e-07,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.451776580020865
"2","hexachlorophene","70-30-4",406.9,3.68e-06,237,7.54,4.92e-08,4.47233377906295e-08,7.19331523766984e-20,9.75321874316303e-05,4.74114709548165e-11,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.00106010582610742
"3","Caffeine","8/2/1958",194.19,0.157,133,-0.07,0.014037075,0.0140361490191347,9.07180304492523e-07,0.00315228465374082,0.0140355920794244,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.999960321046067
"4","hexamethylenetetramine","100-97-0",140.19,0.0153,98.2,-1.27,0.098787447,0.0987849663210005,6.22217412279708e-07,0.0159959712517416,0.098784204527693,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.999992288367998
"5","Malathion","121-75-5",330.36,0.000495,260,2.36,3.93e-05,3.92972122498145e-05,7.94559260853164e-12,5.12788699552997e-05,3.8990388003545e-05,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.992192213424224
"6","pentachlorophenol","87-86-5",266.34,0.00248,148,5.12,7.51e-08,7.37646739030909e-08,1.56238632664188e-14,1.96909543331756e-05,1.5298717282806e-08,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.207398968548343
"7","2,4-dinitrophenol","51-28-5",184.11,0.00871,112,1.67,4.13e-06,4.12986475498647e-06,1.47837629995445e-11,1.28291785684686e-06,4.12290715946599e-06,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.998315297005286
"8","2,2,2-trichloroethanol","115-20-8",149.4,0.597,93.3,1.42,0.000712851,0.000712710476767644,1.74997188025081e-07,0.000150246079513705,0.000712022123919799,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.999034176050047
"9","parathion ethyl","56-38-2",291.26,0.0302,220,3.83,2.88e-06,2.87459759485053e-06,2.95158252290951e-11,8.73850291505474e-05,2.37395576974939e-06,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.825839336261194
"10","diethylphthalate","84-66-2",222.24,0.00237,198,2.44,0.000310531,0.000310505577460709,3.0013335985471e-10,0.00031260782043515,0.000307611324258249,2066.74590491835,0.000218869124257301,3.95546610103556e-06,0.990678901080846
