Chemical,CAS,MW,H37,vb,logkow
PFBS,375-73-5,300.1,2.99E-05,162,1.5
4:2 FTS,757124-72-4,328.15,2.49E-05,195,1.76
PFNA,375-95-1,464.08,1.19E-04,265,6.07
PFHxA,307-24-4,314.05,2.38E-05,182,4.2
PFBA,375-22-4,214.04,5.08E+00,127,1.72
PFOA,335-67-1,414.07,1.93E-05,237,4.13
6:2 FTS,27619-97-2,428.17,1.84E-05,250,2.97
8:2 FTS,39108-34-4,528.18,1.80E-06,305,4.18
PFUnDA,2058-94-8,564.09,3.36E-05,320,5.95
PFOS,1763-23-1,500.13,1.84E-06,272,5.95
PFHpA,375-85-9,364.06,2.12E-05,210,3.53
PFPeA,2706-90-3,264.05,2.99E-05,155,2.32
PFHxS,355-46-4,400.11,1.98E-05,217,2.71
PFDA,335-76-2,514.08,1.53E-05,292,6.4
