Compound,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
PFBS,375-73-5,300.1,1,0.174,23.4,5.00,510.17,1.5,-4.63,10
4:2 FTS,757124-72-4,328.15,1,0.1844,33.3,5.00,1283.0665,1.76,-4.26,10
PFNA,375-95-1,464.08,1,0.3568,68.6,5.00,1299.424,6.07,-2.47,10
PFHxA,307-24-4,314.05,1,0.282,11.7,5.00,29.33227,4.2,-3.31,10
PFBA,375-22-4,214.04,1,0.1828,-17.9,5.00,447.3436,1.72,-3.87,10
PFOA,335-67-1,414.07,1,0.2792,54.3,5.00,5051.654,4.13,-2.75,10
6:2 FTS,27619-97-2,428.17,1,0.2328,32.1,5.00,18.240042,2.97,-3.7,10
8:2 FTS,39108-34-4,528.18,1,0.2812,32.4,5.00,0.2456037,4.18,-3.14,10
PFUnDA,2058-94-8,564.09,4,0.352,98.5,0,91.94667,5.95,-1.91,10
PFOS,1763-23-1,500.13,4,0.352,22.8,-3,570.1482,5.95,-3.51,10
PFHpA,375-85-9,364.06,1,0.2552,35.4,5.00,117955.44,3.53,-3.03,10
PFPeA,2706-90-3,264.05,1,0.2068,1.5,5.00,119.8787,2.32,-3.59,10
PFHxS,355-46-4,400.11,1,0.2224,190,5.00,243.26688,2.71,-4.07,10
PFDA,335-76-2,514.08,4,0.37,90,0,1156.68,6.4,-2.19,10
PFBS,375-73-5,300.1,1,0.174,23.4,5.00,510.17,1.5,-4.63,100
4:2 FTS,757124-72-4,328.15,1,0.1844,33.3,5.00,1283.0665,1.76,-4.26,100
PFNA,375-95-1,464.08,1,0.3568,68.6,5.00,1299.424,6.07,-2.47,100
PFHxA,307-24-4,314.05,1,0.282,11.7,5.00,29.33227,4.2,-3.31,100
PFBA,375-22-4,214.04,1,0.1828,-17.9,5.00,447.3436,1.72,-3.87,100
PFOA,335-67-1,414.07,1,0.2792,54.3,5.00,5051.654,4.13,-2.75,100
6:2 FTS,27619-97-2,428.17,1,0.2328,32.1,5.00,18.240042,2.97,-3.7,100
8:2 FTS,39108-34-4,528.18,1,0.2812,32.4,5.00,0.2456037,4.18,-3.14,100
PFUnDA,2058-94-8,564.09,4,0.352,98.5,0,91.94667,5.95,-1.91,100
PFOS,1763-23-1,500.13,4,0.352,22.8,-3,570.1482,5.95,-3.51,100
PFHpA,375-85-9,364.06,1,0.2552,35.4,5.00,117955.44,3.53,-3.03,100
PFPeA,2706-90-3,264.05,1,0.2068,1.5,5.00,119.8787,2.32,-3.59,100
PFHxS,355-46-4,400.11,1,0.2224,190,5.00,243.26688,2.71,-4.07,100
PFDA,335-76-2,514.08,4,0.37,90,0,1156.68,6.4,-2.19,100
