"","Compound","CAS","MW","Compound.type","Salting.out.Constant","Melting.Point_Celsius.degree","pKa","Water.Solubility_mgperL","LogKOW","LogKAW","CNOM_uM","Q_cells","Q_media_free","Q_media","F_free_media"
"1","PFBS","375-73-5",300.1,1,0.174,23.4,5,510.17,1.5,-4.63,10,8.47233e-47,4.90882e-10,4.98205e-10,0.981764
"2","4:2 FTS","757124-72-4",328.15,1,0.1844,33.3,5,1283.0665,1.76,-4.26,10,1.19369e-46,4.83061e-10,4.96823e-10,0.966122
"3","PFNA","375-95-1",464.08,1,0.3568,68.6,5,1299.424,6.07,-2.47,10,7.23576e-45,1.82124e-12,3.23188e-10,0.00364248
"4","PFHxA","307-24-4",314.05,1,0.282,11.7,5,29.33227,4.2,-3.31,10,1.64662e-45,3.36841e-11,4.49757e-10,0.0673682
"5","PFBA","375-22-4",214.04,1,0.1828,-17.9,5,447.3436,1.72,-3.87,10,1.12646e-46,4.84462e-10,4.96956e-10,0.968924
"6","PFOA","335-67-1",414.07,1,0.2792,54.3,5,5051.654,4.13,-2.75,10,1.63946e-45,3.95027e-11,4.49437e-10,0.0790055
"7","6:2 FTS","27619-97-2",428.17,1,0.2328,32.1,5,18.240042,2.97,-3.7,10,8.46129e-46,2.98556e-10,4.71293e-10,0.597112
"8","8:2 FTS","39108-34-4",528.18,1,0.2812,32.4,5,0.2456037,4.18,-3.14,10,1.64496e-45,3.52617e-11,4.49674e-10,0.0705235
"9","PFUnDA","2058-94-8",564.09,4,0.352,98.5,0,91.94667,5.95,-1.91,10,1.33022e-50,2.32289e-12,3.27526e-10,0.00464577
"10","PFOS","1763-23-1",500.13,4,0.352,22.8,-3,570.1482,5.95,-3.51,10,1.27004e-50,2.32289e-12,3.27526e-10,0.00464577
"11","PFHpA","375-85-9",364.06,1,0.2552,35.4,5,117955.44,3.53,-3.03,10,1.39814e-45,1.36318e-10,4.54115e-10,0.272636
"12","PFPeA","2706-90-3",264.05,1,0.2068,1.5,5,119.8787,2.32,-3.59,10,3.02081e-46,4.39382e-10,4.89815e-10,0.878764
"13","PFHxS","355-46-4",400.11,1,0.2224,190,5,243.26688,2.71,-4.07,10,5.83467e-46,3.68553e-10,4.80204e-10,0.737105
"14","PFDA","335-76-2",514.08,4,0.37,90,0,1156.68,6.4,-2.19,10,7.23326e-51,1.15767e-12,2.65155e-10,0.00231535
"15","PFBS","375-73-5",300.1,1,0.174,23.4,5,510.17,1.5,-4.63,100,8.47233e-46,4.90882e-09,4.98205e-09,0.981764
"16","4:2 FTS","757124-72-4",328.15,1,0.1844,33.3,5,1283.0665,1.76,-4.26,100,1.19369e-45,4.83061e-09,4.96823e-09,0.966122
"17","PFNA","375-95-1",464.08,1,0.3568,68.6,5,1299.424,6.07,-2.47,100,7.23576e-44,1.82124e-11,3.23188e-09,0.00364248
"18","PFHxA","307-24-4",314.05,1,0.282,11.7,5,29.33227,4.2,-3.31,100,1.64662e-44,3.36841e-10,4.49757e-09,0.0673682
"19","PFBA","375-22-4",214.04,1,0.1828,-17.9,5,447.3436,1.72,-3.87,100,1.12646e-45,4.84462e-09,4.96956e-09,0.968924
"20","PFOA","335-67-1",414.07,1,0.2792,54.3,5,5051.654,4.13,-2.75,100,1.63946e-44,3.95027e-10,4.49437e-09,0.0790055
"21","6:2 FTS","27619-97-2",428.17,1,0.2328,32.1,5,18.240042,2.97,-3.7,100,8.46129e-45,2.98556e-09,4.71293e-09,0.597112
"22","8:2 FTS","39108-34-4",528.18,1,0.2812,32.4,5,0.2456037,4.18,-3.14,100,1.64496e-44,3.52617e-10,4.49674e-09,0.0705235
"23","PFUnDA","2058-94-8",564.09,4,0.352,98.5,0,91.94667,5.95,-1.91,100,1.33022e-49,2.32289e-11,3.27526e-09,0.00464577
"24","PFOS","1763-23-1",500.13,4,0.352,22.8,-3,570.1482,5.95,-3.51,100,1.27004e-49,2.32289e-11,3.27526e-09,0.00464577
"25","PFHpA","375-85-9",364.06,1,0.2552,35.4,5,117955.44,3.53,-3.03,100,1.39814e-44,1.36318e-09,4.54115e-09,0.272636
"26","PFPeA","2706-90-3",264.05,1,0.2068,1.5,5,119.8787,2.32,-3.59,100,3.02081e-45,4.39382e-09,4.89815e-09,0.878764
"27","PFHxS","355-46-4",400.11,1,0.2224,190,5,243.26688,2.71,-4.07,100,5.83467e-45,3.68553e-09,4.80204e-09,0.737105
"28","PFDA","335-76-2",514.08,4,0.37,90,0,1156.68,6.4,-2.19,100,7.23326e-50,1.15767e-11,2.65155e-09,0.00231535
