"","Chemical","CAS","MW","H37","vb","logkow","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","PFBS","375-73-5",300.1,2.99e-05,162,1.5,1.00011931090861e-05,1.0373814629211e-13,7.6996384811514e-06,8.9463400002545e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.89452727316371
"2","4:2 FTS","757124-72-4",328.15,2.49e-05,195,1.76,1.00016221435084e-05,8.25715197995922e-14,1.14169614367202e-05,8.55061312765397e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.854922632045623
"3","PFNA","375-95-1",464.08,0.000119,265,6.07,1.00794810290878e-05,2.73056642318877e-16,0.000578330007784127,5.89431612318115e-09,9895.61296328595,0.179632471585429,0.0473080522512774,0.000584783691359812
"4","PFHxA","307-24-4",314.05,2.38e-05,182,4.2,1.00439493798041e-05,6.98754489282612e-15,0.000242185938702599,7.55294394725606e-07,9895.61296328595,0.179632471585429,0.0473080522512774,0.0751989447740866
"5","PFBA","375-22-4",214.04,5.08,127,1.72,9.98052839522852e-06,1.69452955000227e-08,7.07532331142241e-06,8.60109842823012e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.861787882126775
"6","PFOA","335-67-1",414.07,1.93e-05,237,4.13,1.00414754967838e-05,6.55306368139878e-15,0.000304139688881852,8.73585698517694e-07,9895.61296328595,0.179632471585429,0.0473080522512774,0.0869977423932866
"7","6:2 FTS","27619-97-2",428.17,1.84e-05,250,2.97,1.0009659593234e-05,3.4379080067648e-14,8.46470855526883e-05,4.81531910574156e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.481067219208578
"8","8:2 FTS","39108-34-4",528.18,1.8e-06,305,4.18,1.00432434035073e-05,5.51110227522026e-16,0.000401821981791907,7.87677997964195e-07,9895.61296328595,0.179632471585429,0.0473080522512774,0.0784286476308162
"9","PFUnDA","2058-94-8",564.09,3.36e-05,320,5.95,1.00781232787754e-05,1.07332660214501e-16,0.000693548397043041,8.20621024033399e-09,9895.61296328595,0.179632471585429,0.0473080522512774,0.00081425975981226
"10","PFOS","1763-23-1",500.13,1.84e-06,272,5.95,1.00781232762828e-05,5.8777409297956e-18,0.000614909616842567,8.20621023830437e-09,9895.61296328595,0.179632471585429,0.0473080522512774,0.00081425975981226
"11","PFHpA","375-85-9",364.06,2.12e-05,210,3.53,1.00217241392441e-05,2.07200784603515e-14,0.000152201749235773,2.51712479725655e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.251166841382086
"12","PFPeA","2706-90-3",264.05,2.99e-05,155,2.32,1.00035155567929e-05,8.38670420794396e-14,1.96841214168254e-05,7.23159718150388e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.722905576589345
"13","PFHxS","355-46-4",400.11,1.98e-05,217,2.71,1.00064227840878e-05,4.51497580740501e-14,5.35669115448416e-05,5.87793784543453e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.587416499608792
"14","PFDA","335-76-2",514.08,1.53e-05,292,6.4,1.00829209913962e-05,1.40718328997656e-17,0.000662149327098033,2.36227682385711e-09,9895.61296328595,0.179632471585429,0.0473080522512774,0.000234284968202455
