Chemical,CAS,MW,H37,vb,logkow
"2,4-Dinitrophenol",51-28-5,184.11,8.71E-03,112,1.67
Aldrin,309-00-2,364.91,4.46E+00,211,6.5
Azinphos-methyl,86-50-0,317.32,1.01E-02,209,2.75
Chlorpyrifos,2921-88-2,350.59,2.97E-01,237,4.96
"DDD-p,p'",50-29-3,354.49,8.43E-01,244,6.91
"DDT-o,p'",789-02-6,354.49,1.45E+00,244,6.56
"DDT-p,p'",72-54-8,320.04,6.69E-01,233,6.12
Diazinon,333-41-5,304.35,1.14E-02,260,3.81
Dicofol,115-32-2,370.49,1.49E-04,242,5.02
Dieldrin,60-57-1,380.91,8.29E-01,206,5.12
Disulfoton,298-04-4,274.4,4.83E-01,233,4.02
Endosulfan I,115-29-7,406.93,2.45E+00,209,3.83
Endrin,72-20-8,380.91,8.29E-01,206,5.43
Ethion,563-12-2,384.48,4.57E-02,295,5.07
Heptachlor,76-44-8,373.32,2.98E+01,208,6.1
Heptachlor epoxide B,1024-57-3,389.32,2.13E+00,203,4.98
Lindane,58-89-9,290.83,3.22E-01,183,3.72
"Methoxychlor-o,p'",72-43-5,345.65,2.06E-02,268,5.08
Parathion,56-38-2,291.26,3.02E-02,220,3.83
Trifluralin,1582-09-8,335.28,1.04E+01,251,5.34
