,Compound,CAS,MW,Salting.out.Constant,Melting.Point_Celsius.degree,Water.Solubility_mgperL,LogKOW,LogKAW,Time,Q_met,C_cells,C_air,C_plastic,C_free_diss,C_IW,C_lyso,C_mito,C_parent,Q_parent,Q_media_free,Q_cells,Q_media,,Q_air,Q_plastic,Q_IW,Q_lyso,Q_mito,,
1,"2,4-Dinitrophenol",51-28-5,184.11,0.1808,116,1441.5813,1.67,-6.32,1440,0,1.50E-06,1.20E-12,3.47E-09,9.83E-07,1.50E-06,1.50E-06,1.50E-06,1.00E-06,3.00E-10,2.95E-10,1.06E-47,3.00E-10,9.83E-01,4.44E-15,2.78E-13,9.45E-48,1.06E-49,1.06E-48,,9.83E-01
2,Aldrin,309-00-2,364.91,0.374,129,0.026310011,6.5,-1.68,1440,0,0.000352101,2.41E-10,7.76E-07,4.53E-09,0.000352101,0.000352101,0.000352101,1.00E-06,3.00E-10,1.36E-12,2.49E-45,2.37E-10,5.74E-03,8.93E-13,6.20E-11,2.22E-45,2.49E-47,2.49E-46,,4.53E-03
3,Azinphos-methyl,86-50-0,317.32,0.224,73,23.132628,2.75,-13.3,1440,0,9.78E-06,1.02E-19,3.15E-08,8.00E-07,9.78E-06,9.78E-06,9.78E-06,1.00E-06,3.00E-10,2.40E-10,6.92E-47,2.97E-10,8.08E-01,3.78E-22,2.52E-12,6.16E-47,6.92E-49,6.92E-48,,8.00E-01
4,Chlorpyrifos,2921-88-2,350.59,0.3124,42,1.1499352,4.96,-4.17,1440,0,4.82E-05,4.04E-12,1.29E-07,2.35E-08,4.82E-05,4.82E-05,4.82E-05,1.00E-06,3.00E-10,7.04E-12,3.41E-46,2.90E-10,2.43E-02,1.50E-14,1.03E-11,3.03E-46,3.41E-48,3.41E-47,,2.35E-02
5,"DDD-p,p'",50-29-3,354.49,0.3904,108,0.006699861,6.91,-3.82,1440,0,0.00051528,9.68E-13,1.07E-06,2.51E-09,0.00051528,0.00051528,0.00051528,1.00E-06,3.00E-10,7.52E-13,3.64E-45,2.14E-10,3.51E-03,3.58E-15,8.58E-11,3.24E-45,3.64E-47,3.64E-46,,2.51E-03
6,"DDT-o,p'",789-02-6,354.49,0.3764,116,0.07656984,6.56,-3.95,1440,0,0.000375329,1.20E-12,8.20E-07,4.19E-09,0.000375329,0.000375329,0.000375329,1.00E-06,3.00E-10,1.26E-12,2.65E-45,2.34E-10,5.38E-03,4.44E-15,6.56E-11,2.36E-45,2.65E-47,2.65E-46,,4.19E-03
7,"DDT-p,p'",72-54-8,320.04,0.3588,110,0.09025128,6.12,-3.32,1440,0,0.000230901,8.91E-12,5.35E-07,7.30E-09,0.000230901,0.000230901,0.000230901,1.00E-06,3.00E-10,2.19E-12,1.63E-45,2.57E-10,8.52E-03,3.30E-14,4.28E-11,1.45E-45,1.63E-47,1.63E-46,,7.30E-03
8,Diazinon,333-41-5,304.35,0.2664,52.6,47.4786,3.81,-5.17,1440,0,3.12E-05,3.86E-12,9.43E-08,2.24E-07,3.12E-05,3.12E-05,3.12E-05,1.00E-06,3.00E-10,6.72E-11,2.20E-46,2.92E-10,2.30E-01,1.43E-14,7.54E-12,1.96E-46,2.20E-48,2.20E-47,,2.24E-01
9,Dicofol,115-32-2,370.49,0.3148,77.5,0.8632417,5.02,-6.03,1440,0,5.26E-05,5.29E-14,1.40E-07,2.22E-08,5.26E-05,5.26E-05,5.26E-05,1.00E-06,3.00E-10,6.67E-12,3.72E-46,2.89E-10,2.31E-02,1.96E-16,1.12E-11,3.31E-46,3.72E-48,3.72E-47,,2.22E-02
10,Dieldrin,60-57-1,380.91,0.3188,202,0.20835777,5.12,-4.26,1440,0,6.07E-05,2.84E-12,1.59E-07,2.03E-08,6.07E-05,6.07E-05,6.07E-05,1.00E-06,3.00E-10,6.08E-12,4.29E-46,2.87E-10,2.12E-02,1.05E-14,1.27E-11,3.82E-46,4.29E-48,4.29E-47,,2.03E-02
