"","Chemical","CAS","MW","H37","vb","logkow","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","2,4-Dinitrophenol","51-28-5",184.11,0.00871,112,1.67,9.9996346641862e-07,2.95970615589197e-12,5.78266919171865e-07,8.76260309807397e-07,11.8542846791056,0.160000380673771,0.0468000098511369,0.876292323904325
"2","Aldrin","309-00-2",364.91,4.46,211,6.5,9.99994093288822e-07,3.60123402427873e-13,5.49883742023123e-05,2.08218438032654e-10,11.8542846791056,0.160000380673771,0.0468000098511369,0.000208219667926094
"3","Azinphos-methyl","86-50-0",317.32,0.0101,209,2.75,9.99970780861884e-07,2.35732634490695e-12,4.74671502655484e-06,6.01867698637394e-07,11.8542846791056,0.160000380673771,0.0468000098511369,0.601885285206673
"4","Chlorpyrifos","2921-88-2",350.59,0.297,237,4.96,9.99977686106763e-07,1.70706429008756e-12,4.54354569860281e-05,1.48216354317224e-08,11.8542846791056,0.160000380673771,0.0468000098511369,0.0148219661674931
"5","DDD-p,p'","50-29-3",354.49,0.843,244,6.91,9.99998237744502e-07,2.14334659505753e-14,5.46110647208053e-05,6.55643151223356e-11,11.8542846791056,0.160000380673771,0.0468000098511369,6.55644306636141e-05
"6","DDT-o,p'","789-02-6",354.49,1.45,244,6.56,9.99997309850279e-07,9.8899447454436e-14,5.36077970159989e-05,1.75884902058732e-10,11.8542846791056,0.160000380673771,0.0468000098511369,0.000175885375216725
"7","DDT-p,p'","72-54-8",320.04,0.669,233,6.12,9.99996637517792e-07,1.56798797957748e-13,4.7023597474845e-05,6.04392838271285e-10,11.8542846791056,0.160000380673771,0.0468000098511369,0.000604394870538284
"8","Diazinon","333-41-5",304.35,0.0114,260,3.81,9.99988935843932e-07,8.4446549698361e-13,2.03171725500179e-05,1.91020403423163e-07,11.8542846791056,0.160000380673771,0.0468000098511369,0.191022516926103
"9","Dicofol","115-32-2",370.49,0.000149,242,5.02,9.9999871881121e-07,7.28190375091681e-16,4.84758300114241e-05,1.26026351778915e-08,11.8542846791056,0.160000380673771,0.0468000098511369,0.0126026513242671
"10","Dieldrin","60-57-1",380.91,0.829,206,5.12,9.99960624433493e-07,3.08793007088433e-12,5.05790053615551e-05,9.60540375396612e-09,11.8542846791056,0.160000380673771,0.0468000098511369,0.0096057819870736
"11","Disulfoton","298-04-4",274.4,0.483,233,4.02,9.99693836209227e-07,2.47595384550072e-11,2.24675970533631e-05,1.32189850998102e-07,11.8542846791056,0.160000380673771,0.0468000098511369,0.132230335138764
"12","Endosulfan I","115-29-7",406.93,2.45,209,3.83,9.9783824256942e-07,1.75223981866917e-10,2.76849647626088e-05,1.84429402892746e-07,11.8542846791056,0.160000380673771,0.0468000098511369,0.184828958266666
"13","Endrin","72-20-8",380.91,0.829,206,5.43,9.99982368046819e-07,1.32079050505494e-12,5.25812690477114e-05,4.1084887877207e-09,11.8542846791056,0.160000380673771,0.0468000098511369,0.00410856122967994
"14","Ethion","563-12-2",384.48,0.0457,295,5.07,9.99996312868164e-07,1.95023039840464e-13,5.06875437726502e-05,1.10045533447256e-08,11.8542846791056,0.160000380673771,0.0468000098511369,0.0110045939201142
"15","Heptachlor","76-44-8",373.32,29.8,208,6.1,9.99907485866405e-07,7.38549144533969e-12,5.47660764545428e-05,6.39095609031003e-10,11.8542846791056,0.160000380673771,0.0468000098511369,0.000639154739877996
"16","Heptachlor epoxide B","1024-57-3",389.32,2.13,203,4.98,9.99855699244077e-07,1.15975704797046e-11,5.0612431394344e-05,1.40407438220507e-08,11.8542846791056,0.160000380673771,0.0468000098511369,0.0140427702044065
"17","Lindane","58-89-9",290.83,0.322,183,3.72,9.99660183111467e-07,2.75050780727547e-11,1.75748314666401e-05,2.20272210309856e-07,11.8542846791056,0.160000380673771,0.0468000098511369,0.220347087971688
"18","Methoxychlor-o,p'","72-43-5",345.65,0.0206,268,5.08,9.99997661098695e-07,8.55541608167131e-14,4.56355103787333e-05,1.07096829437352e-08,11.8542846791056,0.160000380673771,0.0468000098511369,0.0107097079926852
"19","Parathion","56-38-2",291.26,0.0302,220,3.83,9.99972641283978e-07,2.16452386005943e-12,1.9857887640242e-05,1.84823901583684e-07,11.8542846791056,0.160000380673771,0.0468000098511369,0.184828958266666
"20","Trifluralin","1582-09-8",335.28,10.4,251,5.34,9.99736972502492e-07,2.12188702756727e-11,4.57949157174326e-05,5.2612824437707e-09,11.8542846791056,0.160000380673771,0.0468000098511369,0.00526266666981508
