,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media,IOC,pKa
1,Caffeine,58-08-2,Rat cerebellar granule cell,2,96,5.70E-08,0.000148436,0.000148448,1.000304038,N,
2,Lamotrigine,84057-84-1,Rat cerebellar granule cell,2,96,1.70E-05,0.000100742,0.000105699,0.953473213,B,6.6
3,Diclofenac,15307-79-6,Rat cerebellar granule cell,2,96,1.54E-07,0.000149838,0.000149844,1.000347876,B,17.6
4,"2,4-Dichlorophenoxyacetic",94-75-7,Rat cerebellar granule cell,2,96,3.59E-06,0.000135256,0.000146386,0.92433327,A,2.7
5,(S)-Naproxen,22204-53-1,Rat cerebellar granule cell,2,96,7.53E-06,0.000117893,0.000142367,0.828413973,A,4.4
6,Ibuprofen,15687-27-1,Rat cerebellar granule cell,2,96,1.82E-05,7.17E-05,0.000130769,0.548829947,A,5.4
7,Torasemide,56211-40-6,Rat cerebellar granule cell,2,96,1.04E-05,1.05E-04,0.000139583,0.750023823,A,4
8,Warfarin,81-81-2,Rat cerebellar granule cell,2,96,2.88E-06,0.000138385,0.000147036,0.941530881,A,4.5
9,di-n-butylphthalate,84-74-2,Rat cerebellar granule cell,2,96,9.10E-05,4.23E-06,4.00E-05,0.105854763,N,
10,hexachlorophene,70-30-4,Rat cerebellar granule cell,2,96,1.41E-04,5.04E-08,7.98E-06,6.32E-03,A,6.2
11,hexamethylenetetramine,100-97-0,Rat cerebellar granule cell,2,96,3.92E-09,0.00014084,0.00014084,1.000385801,B,6.4
12,Malathion,121-75-5,Rat cerebellar granule cell,2,96,1.21E-05,0.000108397,0.000112034,0.967913055,N,
13,pentachlorophenol,87-86-5,Rat cerebellar granule cell,2,96,5.02E-05,8.15E-06,9.95E-05,0.081965148,A,5
14,"2,2,2-trichloroethanol",115-20-8,Rat cerebellar granule cell,2,96,1.58E-06,0.000127936,0.00012836,0.997078122,N,
15,diethylphthalate,84-66-2,Rat cerebellar granule cell,2,96,1.40E-05,0.000104071,0.000108323,0.961116816,N,
16,4-chlorophenol,106-48-9,Rat cerebellar granule cell,2,96,1.27E-05,0.000106607,0.000110458,0.965509205,N,
17,permethrin,52645-53-1,Rat cerebellar granule cell,2,96,1.36E-04,7.58E-08,1.05E-05,0.007245657,N,
18,Aniline,62-53-3,Rat cerebellar granule cell,2,96,5.23E-07,0.000142811,0.000142944,0.999464278,N,
19,4-fluoroaniline,371-40-4,Rat cerebellar granule cell,2,96,9.14E-07,0.000139222,0.00013946,0.998681172,N,
20,"2,4,6-trichlorophenol",88-06-2,Rat cerebellar granule cell,2,96,3.67E-05,5.50E-05,9.75447E-05,0.564259849,A,6.8
21,Allyl alcohol,107-18-6,Rat cerebellar granule cell,2,96,9.37E-08,0.000140079,0.0001401,1.000235302,N,
22,N-methylaniline,100-61-8,Rat cerebellar granule cell,2,96,2.71E-06,0.000125254,0.000126005,0.994431355,N,
23,"3,4-dichloroaniline",95-76-1,Rat cerebellar granule cell,2,96,2.14E-05,8.88687E-05,9.55924E-05,0.930025578,N,
24,4-decylaniline,37529-30-9,Rat cerebellar granule cell,2,96,1.34E-04,1.14E-07,1.13E-05,0.01014587,N,
25,naphthalene,91-20-3,Rat cerebellar granule cell,2,96,3.84E-05,3.83E-05,5.1379E-05,0.746223652,N,
26,"1,2,4-trichlorobenzene",120-82-1,Rat cerebellar granule cell,2,96,1.94E-05,3.85E-06,1.10609E-05,0.348332316,N,
27,"1,2-dichlorobenzene",95-50-1,Rat cerebellar granule cell,2,96,8.43E-06,6.20E-06,9.11183E-06,0.680785945,N,
28,dichloromethane,75-09-2,Rat cerebellar granule cell,2,96,9.38E-08,1.13032E-05,1.13279E-05,0.998206451,N,
29,tetrachloroethylene,127-18-4,Rat cerebellar granule cell,2,96,3.05E-06,2.40E-06,3.45E-06,0.696672964,N,
30,"2,3-dimethyl-1,3-butadiene",513-81-5,Rat cerebellar granule cell,2,96,5.08E-08,8.67E-08,1.03E-07,0.838476732,N,
31,Eugenol F,97-53-0,Rat cerebellar granule cell,2,96,1.01E-05,0.00011259,0.000115617,0.974200527,N,
32,Methyl-antranilate,134-20-3,Rat cerebellar granule cell,2,96,4.62E-06,0.000127721,0.000129036,0.99019704,N,
33,Lilyfore,285977-85-7,Rat cerebellar granule cell,2,96,4.48E-05,5.14E-05,6.64981E-05,0.77326174,N,
34,Damascone beta,23726-91-2,Rat cerebellar granule cell,2,96,8.22E-05,8.09E-06,3.99E-05,0.202935234,N,
35,Veloutone,14595-54-1,Rat cerebellar granule cell,2,96,1.16E-04,1.12E-06,2.22E-05,0.050571755,N,
36,Verdox,82356-51-2,Rat cerebellar granule cell,2,96,0.000134942,8.47968E-08,1.06465E-05,0.00796788,N,
37,Nirvanol,1506-02-1,Rat cerebellar granule cell,2,96,0.000125481,4.55836E-07,1.60354E-05,0.028437992,N,
38,Cetalox,3738-00-9,Rat cerebellar granule cell,2,96,1.15E-04,8.45E-07,1.95E-05,0.043327129,N,
39,Tonalide,21145-77-7,Rat cerebellar granule cell,2,96,1.25E-04,4.56E-07,1.60E-05,0.028437992,N,
40,"2,4-Dinitrophenol",51-28-5,Rat cerebellar granule cell,2,96,2.77E-07,0.000149002,0.000149711,0.995653616,A,4.1
41,Aldrin,309-00-2,Rat cerebellar granule cell,2,96,1.35E-04,7.56E-08,1.04E-05,0.007245657,N,
42,Azinphos-methyl,86-50-0,Rat cerebellar granule cell,2,96,2.36E-05,8.51266E-05,9.25938E-05,0.91971443,N,
43,Chlorpyrifos,2921-88-2,Rat cerebellar granule cell,2,96,1.05E-04,2.16E-06,2.93E-05,0.073737078,N,
44,"DDD-p,p'",50-29-3,Rat cerebellar granule cell,2,96,1.38E-04,2.96E-08,9.24E-06,0.003201257,N,
45,"DDT-o,p'",789-02-6,Rat cerebellar granule cell,2,96,1.36E-04,6.61E-08,1.02E-05,0.006455554,N,
46,"DDT-p,p'",72-54-8,Rat cerebellar granule cell,2,96,1.32E-04,1.79E-07,1.24E-05,0.014475667,N,
47,Diazinon,333-41-5,Rat cerebellar granule cell,2,96,7.00E-05,2.12E-05,4.65388E-05,0.454744329,N,
48,Dicofol,115-32-2,Rat cerebellar granule cell,2,96,1.08E-04,1.92E-06,2.78E-05,0.068955307,N,
49,Dieldrin,60-57-1,Rat cerebellar granule cell,2,96,1.11E-04,1.56E-06,2.55E-05,0.061440283,N,
