Cell,Diameter,Storage_lipids,Membrane_lipids,Protein_content,Lipid_content,Water_content
Ratcerebellargranulecell,16.99749447,0,0.953,0.029,0.953,0.047
Balbc_3T3,16.61413039,0.023666667,0.118333333,0.24,0.142,0.858
FishRtgut,12.40910714,0.04,0.01,0.06,0.05,0.95
FishRtgill,10.01060446,0.04,0.01,0.06,0.05,0.95
Default,21.21927472,0.005,0.025,0.1,0.03,0.97
MCF7,26.73461088,0.0015,0.0035,0.00514,0.005,0.995
HCT116,17.06337689,0.00762,0.01778,0.115,0.0254,0.9746
HEK293T,24.07214667,0.003,0.007,0.0843,0.01,0.99
HepG2,17.89702943,0.00957,0.02233,0.0946,0.0319,0.9681
Me_180,19.36429691,0.00852,0.01988,0.1056,0.0284,0.9716
H4lle,18.84067894,0.0018,0.0042,0.055,0.006,0.994
SH-SY5Y,15.52956263,0.003,0.007,0.047,0.01,0.99
HEK293H,17.69592219,0.0102,0.0238,0.08,0.034,0.966
