Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
Caffeine,58-08-2,194.19,1,0.1112,238,7,21749.28,-0.07,-9.95,1
Lamotrigine,84057-84-1,256.09,2,0.2168,207,6.6,249.94384,2.57,-9.7,1
Diclofenac,15307-79-6,296.15,2,0.142,284,17.6,7.018755,0.7,-9.05,1
"2,4-Dichlorophenoxyacetic",94-75-7,221.04,4,0.2264,140,2.7,1644.5376,2.81,-7.08,1
(S)-Naproxen,22204-53-1,230.26,4,0.2412,153,4.4,13.35508,3.18,-9.64,1
Ibuprofen,15687-27-1,206.28,4,0.2632,89.1,5.4,35.68644,3.73,-6.22,1
Torasemide,56211-40-6,348.42,4,0.2488,224,4,79.78818,3.37,-15.3,1
Warfarin,81-81-2,308.33,4,0.222,161,4.5,29.692179,2.7,-11.6,1
di-n-butylphthalate,84-74-2,278.34,1,0.2984,-35,7,11.189268,4.61,-5.26,1
hexachlorophene,70-30-4,406.9,4,0.4156,166,6.2,140.7874,7.54,-9.21,1
hexamethylenetetramine,100-97-0,140.19,2,0.0632,96.3,6.4,999554.7,-1.27,-3.42,1
Malathion,121-75-5,330.36,1,0.2084,2.8,7,144.69768,2.36,-9.87,1
pentachlorophenol,87-86-5,266.34,4,0.3188,174,5,40.48368,5.12,-5.02,1
"2,2,2-trichloroethanol",115-20-8,149.4,1,0.1708,19,7,83215.8,1.42,-3.34,1
diethylphthalate,84-66-2,222.24,1,0.2116,-40.5,7,1037.8608,2.44,-5.26,1
4-chlorophenol,106-48-9,128.56,1,0.2096,42.7,7,24554.96,2.39,-4.8,1
permethrin,52645-53-1,391.29,1,0.374,34,7,0.08373606,6.5,-6.61,1
Aniline,62-53-3,93.13,1,0.15,-6,7,36041.31,0.9,-4.27,1
4-fluoroaniline,371-40-4,111.12,1,0.16,-0.8,7,14778.96,1.15,-3.98,1
"2,4,6-trichlorophenol",88-06-2,197.45,4,0.2616,69,6.8,833.239,3.69,-3.46,1
Allyl alcohol,107-18-6,58.08,1,0.1208,-129,7,998976,0.17,-3.52,1
