"","Chemical","CAS","Cell.type","FBS","Well","Q_cells","Q_media_free","Q_media","F_free_media"
"1","2,4-Dinitrophenol","51-28-5","Rat cerebellar granule cell",2,96,8.29786e-07,0.000148168,0.000148843,0.987785
"2","Aldrin","309-00-2","Rat cerebellar granule cell",2,96,0.000103412,2.73517e-07,1.73014e-05,0.00182345
"3","Azinphos-methyl","86-50-0","Rat cerebellar granule cell",2,96,8.70386e-06,0.000129441,0.000138105,0.862942
"4","Chlorpyrifos","2921-88-2","Rat cerebellar granule cell",2,96,6.13503e-05,5.62638e-06,6.93372e-05,0.0375092
"5","DDD-p,p'","50-29-3","Rat cerebellar granule cell",2,96,0.000107192,1.10299e-07,1.33199e-05,0.00073533
"6","DDT-o,p'","789-02-6","Rat cerebellar granule cell",2,96,0.00010411,2.3983e-07,1.65488e-05,0.00159887
"7","DDT-p,p'","72-54-8","Rat cerebellar granule cell",2,96,9.77314e-05,6.20079e-07,2.38736e-05,0.00413386
"8","Diazinon","333-41-5","Rat cerebellar granule cell",2,96,3.89744e-05,5.0488e-05,9.77422e-05,0.336587
"9","Dicofol","115-32-2","Rat cerebellar granule cell",2,96,6.38554e-05,5.10047e-06,6.6128e-05,0.0340032
"10","Dieldrin","60-57-1","Rat cerebellar granule cell",2,96,6.79433e-05,4.31081e-06,6.09045e-05,0.0287388
"11","Disulfoton","298-04-4","Rat cerebellar granule cell",2,96,4.41772e-05,3.52865e-05,9.09837e-05,0.235243
"12","Endosulfan I","115-29-7","Rat cerebellar granule cell",2,96,3.95315e-05,4.89048e-05,9.70132e-05,0.326032
"13","Endrin","72-20-8","Rat cerebellar granule cell",2,96,7.95778e-05,2.47289e-06,4.61733e-05,0.0164859
"14","Ethion","563-12-2","Rat cerebellar granule cell",2,96,6.59149e-05,4.69241e-06,6.34942e-05,0.0312828
"15","Heptachlor","76-44-8","Rat cerebellar granule cell",2,96,9.73561e-05,6.46809e-07,2.4317e-05,0.00431206
"16","Heptachlor epoxide B","1024-57-3","Rat cerebellar granule cell",2,96,6.21891e-05,5.44662e-06,6.82624e-05,0.0363108
