Cell,Mass,Storage_lipids,Membrane_lipids,Protein_content,Lipid_content,Water_content
Ratcerebellargranulecell,2.57,0,0.953,0.029,0.953,0.047
Balbc_3T3,2.4,0.023666667,0.118333333,0.24,0.142,0.858
FishRtgut,1,0.04,0.01,0.06,0.05,0.95
FishRtgill,0.525,0.04,0.01,0.06,0.05,0.95
Default,5,0.005,0.025,0.1,0.03,0.97
MCF7,10,0.0015,0.0035,0.00514,0.005,0.995
HCT116,2.6,0.00762,0.01778,0.115,0.0254,0.9746
HEK293T,7.3,0.003,0.007,0.0843,0.01,0.99
Hep_G2,3,0.00957,0.02233,0.0946,0.0319,0.9681
Me_180,3.8,0.00852,0.01988,0.1056,0.0284,0.9716
H4lle,3.5,0.0018,0.0042,0.055,0.006,0.994
SH-SY5Y,1.96,0.003,0.007,0.047,0.01,0.99
HEK293H,2.9,0.0102,0.0238,0.08,0.034,0.966
