Chemical,CAS,MW,H37,vb,logkow,CNOM_M,pKa,IOC type
Caffeine,58-08-2,194.19,1.57E-01,133,-0.07,1.00E-06,,Neutral
Lamotrigine,84057-84-1,256.09,1.13E-04,163,2.57,1.00E-06,6.6,Base
Diclofenac,15307-79-6,296.15,0.000016,207,0.7,1.00E-06,17.6,Base
"2,4-Dichlorophenoxyacetic",94-75-7,221.04,0.000299,148,2.81,1.00E-06,2.7,Acid
(S)-Naproxen,22204-53-1,230.26,0.000108,192,3.18,1.00E-06,4.4,Acid
Ibuprofen,15687-27-1,206.28,0.00824,200,3.73,1.00E-06,5.4,Acid
Torasemide,56211-40-6,348.42,0.00000184,271,3.37,1.00E-06,4,Acid
Warfarin,81-81-2,308.33,0.000625,236,2.7,1.00E-06,4.5,Acid
di-n-butylphthalate,84-74-2,278.34,0.183,264,4.61,1.00E-06,,Neutral
hexachlorophene,70-30-4,406.9,3.68E-06,237,7.54,1.00E-06,6.2,Acid
hexamethylenetetramine,100-97-0,140.19,0.0153,98.2,-1.27,1.00E-06,6.4,Base
Malathion,121-75-5,330.36,0.000495,260,2.36,1.00E-06,,Neutral
pentachlorophenol,87-86-5,266.34,0.00248,148,5.12,1.00E-06,5,Acid
"2,2,2-trichloroethanol",115-20-8,149.4,0.597,93.3,1.42,1.00E-06,,Neutral
diethylphthalate,84-66-2,222.24,0.00237,198,2.44,1.00E-06,,Neutral
4-chlorophenol,106-48-9,128.56,0.0639,99.8,2.39,1.00E-06,,Neutral
permethrin,52645-53-1,391.29,0.00243,303,6.5,1.00E-06,,Neutral
Aniline,62-53-3,93.13,0.205,91.7,0.9,1.00E-06,,Neutral
4-fluoroaniline,371-40-4,111.12,6.11E-02,95.9,1.15,1.00E-06,,Neutral
"2,4,6-trichlorophenol",88-06-2,197.45,1.37E-01,124,3.69,1.00E-06,6.8,Acid
Allyl alcohol,107-18-6,58.08,0.506,70.7,0.17,1.00E-06,,Neutral
N-methylaniline,100-61-8,107.15,0.9,109,1.66,1.00E-06,,Neutral
"3,4-dichloroaniline",95-76-1,162.02,0.0176,116,2.69,1.00E-06,,Neutral
4-decylaniline,37529-30-9,233.39,2.07,257,6.32,1.00E-06,,Neutral
naphthalene,91-20-3,128.17,44.6,124,3.3,1.00E-06,,Neutral
"1,2,4-trichlorobenzene",120-82-1,181.45,144,125,3.99,1.00E-06,,Neutral
"1,2-dichlorobenzene",95-50-1,147,195,113,3.43,1.00E-06,,Neutral
dichloromethane,75-09-2,84.93,329,67.8,1.25,1.00E-06,,Neutral
tetrachloroethylene,127-18-4,165.83,1790,100,3.4,1.00E-06,,Neutral
"2,3-dimethyl-1,3-butadiene",513-81-5,82.14,4530,117,3.07,1.00E-06,,Neutral
Eugenol F,97-53-0,164.2,0.0222,156,2.27,1.00E-06,,Neutral
Methyl-antranilate,134-20-3,151.16,0.00111,130,1.88,1.00E-06,,Neutral
Lilyfore,285977-85-7,176.25,0.0717,172,3.24,1.00E-06,,Neutral
Damascone beta,23726-91-2,192.3,32.8,212,4.29,1.00E-06,,Neutral
Veloutone,14595-54-1,222.37,18.4,256,5.28,1.00E-06,,Neutral
Verdox,82356-51-2,236.39,,,6.45,1.00E-06,,Neutral
Nirvanol,1506-02-1,258.4,,,5.7,1.00E-06,,Neutral
Cetalox,3738-00-9,236.39,140,252,5.4,1.00E-06,,Neutral
Tonalide,21145-77-7,258.4,4.8534675,281,5.7,1.00E-06,,Neutral
"2,4-Dinitrophenol",51-28-5,184.11,0.00871,112,1.67,1.00E-06,4.1,Acid
Aldrin,309-00-2,364.91,4.46,211,6.5,1.00E-06,,Neutral
Azinphos-methyl,86-50-0,317.32,0.0101,209,2.75,1.00E-06,,Neutral
Chlorpyrifos,2921-88-2,350.59,0.297,237,4.96,1.00E-06,,Neutral
"DDD-p,p'",50-29-3,354.49,0.843,244,6.91,1.00E-06,,Neutral
"DDT-o,p'",789-02-6,354.49,1.45,244,6.56,1.00E-06,,Neutral
"DDT-p,p'",72-54-8,320.04,0.669,233,6.12,1.00E-06,,Neutral
Diazinon,333-41-5,304.35,0.0114,260,3.81,1.00E-06,,Neutral
Dicofol,115-32-2,370.49,0.000149,242,5.02,1.00E-06,,Neutral
Dieldrin,60-57-1,380.91,0.829,206,5.12,1.00E-06,,Neutral
Disulfoton,298-04-4,274.4,0.483,233,4.02,1.00E-06,,Neutral
Endosulfan I,115-29-7,406.93,2.45,209,3.83,1.00E-06,,Neutral
Endrin,72-20-8,380.91,0.829,206,5.43,1.00E-06,,Neutral
Ethion,563-12-2,384.48,0.0457,295,5.07,1.00E-06,,Neutral
Heptachlor,76-44-8,373.32,29.8,208,6.1,1.00E-06,,Neutral
Heptachlor epoxide B,1024-57-3,389.32,2.13,203,4.98,1.00E-06,,Neutral
Lindane,58-89-9,290.83,0.322,183,3.72,1.00E-06,,Neutral
"Methoxychlor-o,p'",72-43-5,345.65,0.0206,268,5.08,1.00E-06,,Neutral
Parathion,56-38-2,291.26,0.0302,220,3.83,1.00E-06,,Neutral
Trifluralin,1582-09-8,335.28,10.4,251,5.34,1.00E-06,,Neutral
Cisapride,81098-60-4,465.95,1.30709E-06,359,3.49,1.00E-06,7.8,Base
Citalopram hydrobromide,59729-33-8,324.39,0.4032735,273,3.2,1.00E-06,,Neutral
Dofetilide,115256-11-6,441.56,0.00133749,328,2.223,1.00E-06,8.4,Base
Moxifloxacin hydrochloride,186826-86-8,401.43,4.32658E-06,285,1.13,1.00E-06,6,Acid
