,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media,IOC,pKa
1,Caffeine,58-08-2,Rat cerebellar granule cell,2,96,2.02E-09,0.000148086,0.000149977,0.98738971,N,
2,Lamotrigine,84057-84-1,Rat cerebellar granule cell,2,96,6.83E-07,0.000130517,0.000147331,0.885873712,B,6.6
3,Diclofenac,15307-79-6,Rat cerebellar granule cell,2,96,6.69E-09,0.000148025,0.000149977,0.986983886,B,17.6
4,"2,4-Dichlorophenoxyacetic",94-75-7,Rat cerebellar granule cell,2,96,1.09E-06,0.000121587,0.000145065,0.838157997,A,2.7
5,(S)-Naproxen,22204-53-1,Rat cerebellar granule cell,2,96,2.71E-06,0.000100608,0.000138212,0.727923155,A,4.4
6,Ibuprofen,15687-27-1,Rat cerebellar granule cell,2,96,6.60E-06,5.63E-05,0.000117994,0.477084431,A,5.4
7,Torasemide,56211-40-6,Rat cerebellar granule cell,2,96,6.08E-06,8.64E-05,0.000132545,0.65152502,A,4
8,Warfarin,81-81-2,Rat cerebellar granule cell,2,96,1.15E-06,0.000126083,0.000146264,0.862024294,A,4.5
9,di-n-butylphthalate,84-74-2,Rat cerebellar granule cell,2,96,1.87E-05,9.41E-06,8.27E-05,0.113782274,N,
10,hexachlorophene,70-30-4,Rat cerebellar granule cell,2,96,3.79E-05,2.84E-09,5.68E-05,4.99E-05,A,6.2
11,hexamethylenetetramine,100-97-0,Rat cerebellar granule cell,2,96,1.25E-09,0.00014811,0.00014999,0.987468698,B,6.4
12,Malathion,121-75-5,Rat cerebellar granule cell,2,96,5.05E-07,0.00013601,0.000148471,0.916070449,N,
13,pentachlorophenol,87-86-5,Rat cerebellar granule cell,2,96,2.03E-05,2.46E-06,7.37E-05,0.033369399,A,5
14,"2,2,2-trichloroethanol",115-20-8,Rat cerebellar granule cell,2,96,1.79E-08,0.000146568,0.000149832,0.97821241,N,
15,diethylphthalate,84-66-2,Rat cerebellar granule cell,2,96,4.21E-07,0.000134132,0.000148106,0.905648136,N,
16,4-chlorophenol,106-48-9,Rat cerebellar granule cell,2,96,2.13E-07,0.00013533,0.000148338,0.912305592,N,
17,permethrin,52645-53-1,Rat cerebellar granule cell,2,96,3.46E-05,5.38E-08,6.15E-05,0.000874628,N,
18,Aniline,62-53-3,Rat cerebellar granule cell,2,96,3.09E-09,0.000147956,0.00014995,0.986697891,N,
19,4-fluoroaniline,371-40-4,Rat cerebellar granule cell,2,96,6.59E-09,0.000147693,0.000149936,0.985043293,N,
20,"2,4,6-trichlorophenol",88-06-2,Rat cerebellar granule cell,2,96,5.97E-06,5.96E-05,0.000119785,0.49763217,A,6.8
21,Allyl alcohol,107-18-6,Rat cerebellar granule cell,2,96,6.89E-10,0.000148047,0.000149947,0.987328263,N,
22,N-methylaniline,100-61-8,Rat cerebellar granule cell,2,96,2.45E-08,0.000145125,0.0001497,0.969435819,N,
